"","V1","V2","V3","V4","V5","V6","V7","V8","V9","bug","loc","bf","hcm"
"1",4.14313472639153,0,0,4.66343909411207,0,0,4.11087386417331,3.63758615972639,0,0,3.76120011569356,6,3.08906
"2",2.39789527279837,0,0,0,0,0,0,0,4.27666611901606,0,2.56494935746154,3,3.17351
"3",0,0,4.69134788222914,2.89037175789616,1.09861228866811,0,6.1527326947041,2.99573227355399,1.09861228866811,0,4.56434819146784,29,17.9092
"4",0,0,0.693147180559945,3.91202300542815,0,0,4.82028156560504,2.89037175789616,0,0,3.98898404656427,3,3.39209
"5",0,3.98898404656427,0,0,2.63905732961526,0,3.13549421592915,0,0.693147180559945,0,1.94591014905531,3,2.8654
"6",2.89037175789616,4.99043258677874,0,1.6094379124341,0,3.89182029811063,0,0,0.693147180559945,0,3.71357206670431,7,7.50839
"7",4.56434819146784,4.40671924726425,0,0,0,0,3.85014760171006,3.61091791264422,1.09861228866811,0,3.29583686600433,14,12.5709
"8",0,3.63758615972639,4.7361984483945,0,0,0.693147180559945,1.09861228866811,0,4.69134788222914,0,3.66356164612965,2,1.84703
"9",3.87120101090789,1.09861228866811,5.44673737166631,0,3.43398720448515,0,0,0,4.23410650459726,0,3.93182563272433,6,4.83045
"10",0,1.09861228866811,2.30258509299405,0,0,0,3.52636052461616,0,0,0,1.09861228866811,4,4.17741
"11",0,0,3.76120011569356,0,0,0,4.61512051684126,3.52636052461616,4.00733318523247,0,4.06044301054642,18,14.7305
"12",4.30406509320417,0,0,4.83628190695148,0,0,4.36944785246702,4.70953020131233,0,0,4.43081679884331,4,0
"13",3.17805383034795,0,3.8286413964891,6.15060276844628,6.03548143252476,0,2.63905732961526,0,0,0,4.44265125649032,8,5.39677
"14",0,4.48863636973214,0.693147180559945,3.13549421592915,2.07944154167984,0,4.04305126783455,0,0,0,2.99573227355399,8,4.83045
"15",3.36729582998647,0,0,0,0,2.07944154167984,4.17438726989564,0.693147180559945,0,0,3.17805383034795,3,3.39209
"16",0,0,0,0,5.90263333340137,4.60517018598809,4.54329478227,0,3.46573590279973,0,4.81218435537242,3,1.84703
"17",3.3322045101752,2.83321334405622,0,0,0.693147180559945,2.07944154167984,0,0,1.6094379124341,0,1.38629436111989,2,0
"18",4.89034912822175,0,3.49650756146648,0,0,0,0,0,4.20469261939097,0,3.61091791264422,5,5.5048
"19",0.693147180559945,0,3.13549421592915,4.72738781871234,3.66356164612965,0,5.40267738187228,0,5.13579843705026,0,4.75359019110636,5,4.17741
"20",0,3.29583686600433,0,2.30258509299405,0,0,6.24804287450843,0,0.693147180559945,0,4.70048036579242,16,7.5628
"21",0,0,2.94443897916644,4.67282883446191,7.53689712956617,5.89164421182577,5.90263333340137,4.83628190695148,4.44265125649032,0,6.18208490671663,3,1.84703
"22",3.3322045101752,3.91202300542815,2.39789527279837,0,0,0,5.44241771052179,3.58351893845611,4.68213122712422,0,4.49980967033027,9,5.63443
"23",4.15888308335967,0,0,0,0,0,4.78749174278205,0,0,0,1.38629436111989,2,0
"24",3.49650756146648,5.43372200355424,0,4.66343909411207,0,1.79175946922805,4.43081679884331,0,0,0,4.24849524204936,10,9.71828
"25",7.04141166379481,0,0,0,0,0,0,6.72503364216684,2.83321334405622,1,5.92425579741453,11,9.70413
