"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","bug","loc","bf","hcm"
"1",0,0,0,5.03695260241363,0,0,0,0.693147180559945,0,0,0,0,0,0,2.30258509299405,0,0,0,0,0,0,2.70805020110221,0,0,0,3.97029191355212,0,0,0,0,0,0,0,3.58351893845611,0,0,3.76120011569356,6,3.08906
"2",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,4.35670882668959,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,2.56494935746154,3,3.17351
"3",0,0,0,0,0,3.71357206670431,0,0,0.693147180559945,0,4.27666611901606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75574221358691,5.01063529409626,3.04452243772342,0,0,0,0,3.09104245335832,0,0,4.56434819146784,29,17.9092
"4",0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,4.47733681447821,0,0,1.09861228866811,4.58496747867057,0,0,0,0,0,3.98898404656427,3,3.39209
"5",0,0,0,0,0,0,4.26267987704132,1.09861228866811,0,0,0,0,2.63905732961526,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0.693147180559945,0,1.94591014905531,3,2.8654
"6",0,0.693147180559945,0,0,1.6094379124341,0,0,0,0,0,0,0,3.66356164612965,0,0,0,0,0,0,0.693147180559945,4.29045944114839,2.484906649788,1.09861228866811,0,0,0,0,0,0,0,0,1.38629436111989,4.44265125649032,0,0,0,3.71357206670431,7,7.50839
"7",3.52636052461616,4.66343909411207,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0,4.38202663467388,0,0.693147180559945,0,1.09861228866811,3.49650756146648,0,0,1.09861228866811,0,3.29583686600433,14,12.5709
"8",0,0,0.693147180559945,0,0,0,3.17805383034795,0,0,0,0,0,0,0,0,0,0,0,3.17805383034795,0,0,0,0,0,0,0,0.693147180559945,2.99573227355399,0,0,0,4.20469261939097,4.77912349311153,0,2.39789527279837,0,3.66356164612965,2,1.84703
"9",0.693147180559945,0.693147180559945,0,0,5.54126354515843,0,0,0,3.58351893845611,0,0,0,0,0,0,0,0,0,1.94591014905531,0,0,0.693147180559945,2.63905732961526,0,0,0,0,0,0,0,0,2.07944154167984,0,0,4.11087386417331,0,3.93182563272433,6,4.83045
"10",0,0,0.693147180559945,0,0,2.484906649788,1.09861228866811,0,0,0,0,2.39789527279837,2.89037175789616,0,0,0,0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,4,4.17741
"11",0,0,0,0,0.693147180559945,0,0,0,0,3.04452243772342,0,0,1.38629436111989,0,1.79175946922805,0,3.91202300542815,0,0,0,0.693147180559945,0,0,0,0,0,3.3322045101752,2.39789527279837,3.76120011569356,0,0,0,1.6094379124341,0,4.21950770517611,0,4.06044301054642,18,14.7305
"12",0,4.23410650459726,0,0,0,0,0,0,0.693147180559945,1.79175946922805,1.09861228866811,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,3.80666248977032,0,0,0,5.57215403217776,0,0,0,0,0,4.43081679884331,4,0
"13",0,2.19722457733622,0.693147180559945,0,0,0,0.693147180559945,0,0,5.04342511691925,0,1.38629436111989,0,3.61091791264422,0,0,2.484906649788,0,0,5.85793315448346,0,0,0,0,3.40119738166216,0,2.56494935746154,0,0,0,5.89440283426485,0,0,0,0,0,4.44265125649032,8,5.39677
"14",0,0,3.63758615972639,0,0,0,0,3.40119738166216,0,0,0,0,0,1.09861228866811,0,0,0,0,2.77258872223978,0,0,0,0,0,0,0,0,0,0,0,0,4.52178857704904,0,0,0,0,2.99573227355399,8,4.83045
"15",0,0,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,2.94443897916644,0,0,0,0,0,3.73766961828337,0,0,0,2.56494935746154,0,0,2.89037175789616,0,0,3.17805383034795,3,3.39209
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341,0,1.09861228866811,1.79175946922805,0,2.77258872223978,0,6.3261494731551,0,0,0,0,0,1.38629436111989,0,0,0,0,0.693147180559945,0,4.81218435537242,3,1.84703
"17",1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,3.36729582998647,0,0,0,0,1.94591014905531,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221,0,1.38629436111989,2,0
"18",0,2.83321334405622,2.56494935746154,0,0,0,0,0,4.91265488573605,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2188758248682,3.66356164612965,0,3.61091791264422,5,5.5048
"19",0,0.693147180559945,0,0,0,4.33073334028633,0,0,0,4.12713438504509,0,0,3.3322045101752,0,0,0,0,0,0,0,0,0,0,3.29583686600433,0,5.36597601502185,0.693147180559945,0,0,0,0,0,0,0,5.07517381523383,0,4.75359019110636,5,4.17741
"20",0,0,0,0,0,0,0,0,0.693147180559945,0,5.13579843705026,0,0,1.09861228866811,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,2.07944154167984,5.85220247977447,0,0,0.693147180559945,1.6094379124341,2.63905732961526,0,0,1.94591014905531,0,4.70048036579242,16,7.5628
