"","V1","V2","V3","V4","V5","V6","V7","V8","bug","loc","bf","hcm"
"1",3.13549421592915,0,3.55534806148941,4.94875989037817,1.09861228866811,0,3.87120101090789,2.99573227355399,0,3.76120011569356,6,3.08906
"2",1.79175946922805,2.07944154167984,0,0,4.23410650459726,0,0,0.693147180559945,0,2.56494935746154,3,3.17351
"3",0,4.33073334028633,4.91265488573605,0,0,0,6.01126717440416,0,0,4.56434819146784,29,17.9092
"4",0,0,0.693147180559945,0,0,0,5.24702407216049,0,0,3.98898404656427,3,3.39209
"5",0,4.30406509320417,2.77258872223978,0,0.693147180559945,0,0,0,0,1.94591014905531,3,2.8654
"6",0.693147180559945,3.76120011569356,0,1.94591014905531,5.03043792139244,2.77258872223978,0,0,0,3.71357206670431,7,7.50839
"7",3.46573590279973,0.693147180559945,0,4.17438726989564,0.693147180559945,0,4.9416424226093,3.2188758248682,0,3.29583686600433,14,12.5709
"8",0,5.07517381523383,1.94591014905531,0,4.57471097850338,0,0,0,0,3.66356164612965,2,1.84703
"9",2.89037175789616,5.82008293035236,0,1.09861228866811,0,3.17805383034795,0,0,0,3.93182563272433,6,4.83045
"10",1.09861228866811,1.09861228866811,3.40119738166216,0.693147180559945,2.39789527279837,0,0,0,0,1.09861228866811,4,4.17741
"11",0,4.36944785246702,2.484906649788,0,0,4.15888308335967,4.30406509320417,1.6094379124341,0,4.06044301054642,18,14.7305
"12",1.09861228866811,0,0,3.8286413964891,0,1.79175946922805,5.81413053182507,0,0,4.43081679884331,4,0
"13",0,0,4.67282883446191,6.21860011969173,0,5.88610403145016,0,0,0,4.44265125649032,8,5.39677
"14",4.23410650459726,3.98898404656427,0,0,0,0,3.98898404656427,0,0,2.99573227355399,8,4.83045
"15",1.6094379124341,0,0,0,1.94591014905531,0,4.51085950651685,0,0,3.17805383034795,3,3.39209
"16",0,2.56494935746154,0,0,2.39789527279837,6.34035930372775,0,0,0,4.81218435537242,3,1.84703
"17",3.85014760171006,0,0,0,0,0,0.693147180559945,2.19722457733622,0,1.38629436111989,2,0
"18",0,4.69134788222914,2.70805020110221,3.13549421592915,0,0,0,4.46590811865458,0,3.61091791264422,5,5.5048
