"","V1","V2","V3","V4","bug","loc","bf","hcm"
"1",0,3.97029191355212,0,5.36129216570943,0,3.76120011569356,6,3.08906
"2",4.39444915467244,0,0,0.693147180559945,0,2.56494935746154,3,3.17351
"3",0,5.95064255258773,0,5.45958551414416,0,4.56434819146784,29,17.9092
"4",0,4.49980967033027,0,4.62497281328427,0,3.98898404656427,3,3.39209
"5",4.26267987704132,2.89037175789616,1.09861228866811,0,0,1.94591014905531,3,2.8654
"6",5.13579843705026,0,3.87120101090789,0,0,3.71357206670431,7,7.50839
"7",4.26267987704132,0,0,5.25227342804663,0,3.29583686600433,14,12.5709
"8",5.47227067367148,3.2188758248682,0,0,0,3.66356164612965,2,1.84703
"9",5.64190707093811,0,4.58496747867057,0,0,3.93182563272433,6,4.83045
"10",1.94591014905531,3.63758615972639,0.693147180559945,0,0,1.09861228866811,4,4.17741
"11",3.46573590279973,4.27666611901606,4.20469261939097,4.12713438504509,0,4.06044301054642,18,14.7305
"12",0,0.693147180559945,0,5.95583736946483,0,4.43081679884331,4,0
"13",0,6.43294009273918,5.34710753071747,4.91998092582813,0,4.44265125649032,8,5.39677
"14",4.40671924726425,3.93182563272433,0,3.78418963391826,0,2.99573227355399,8,4.83045
"15",2.56494935746154,0.693147180559945,0.693147180559945,4.46590811865458,0,3.17805383034795,3,3.39209
"16",0,0,6.3491389913798,2.89037175789616,0,4.81218435537242,3,1.84703
"17",3.85014760171006,0.693147180559945,0,2.19722457733622,0,1.38629436111989,2,0
"18",4.64439089914137,3.43398720448515,0,4.58496747867057,0,3.61091791264422,5,5.5048
"19",4.07753744390572,5.99645208861902,4.65396035015752,0,0,4.75359019110636,5,4.17741
"20",4.17438726989564,5.23644196282995,1.09861228866811,5.7037824746562,0,4.70048036579242,16,7.5628
"21",0,6.64248680136726,7.61134771740362,5.00394630594546,0,6.18208490671663,3,1.84703
"22",5.37063802812766,0.693147180559945,0,5.4971682252932,0,4.49980967033027,9,5.63443
"23",0,4.39444915467244,0,4.63472898822964,0,1.38629436111989,2,0
"24",5.17614973257383,0,1.79175946922805,5.60947179518496,0,4.24849524204936,10,9.71828
"25",3.40119738166216,0,0,7.58171964012531,1,5.92425579741453,11,9.70413
"26",4.44265125649032,0,4.33073334028633,0,0,3.29583686600433,3,2.8654
"27",3.58351893845611,0,3.2188758248682,0.693147180559945,0,2.77258872223978,7,5.99636
"28",7.30249642372733,4.72738781871234,3.29583686600433,3.63758615972639,1,5.71702770140622,14,4.88878
"29",1.09861228866811,4.53259949315326,3.89182029811063,1.09861228866811,0,3.3322045101752,3,1.84703
"30",3.78418963391826,5.20948615284142,0,0,0,3.85014760171006,4,4.17741
"31",5.06890420222023,4.71849887129509,3.46573590279973,0,0,4.29045944114839,2,0
"32",2.30258509299405,6.0282785202307,3.58351893845611,4.14313472639153,1,4.49980967033027,1,0
"33",3.91202300542815,1.09861228866811,0,5.08759633523238,0,3.3322045101752,10,11.1128
"34",5.36129216570943,2.19722457733622,0,3.36729582998647,0,3.52636052461616,3,1.84703
"35",3.3322045101752,5.87773578177964,0,6.58063913728495,0,5.68697535633982,24,6.92707
"36",4.12713438504509,4.9416424226093,1.6094379124341,0,0,3.85014760171006,15,12.4918
"37",0,0,2.83321334405622,4.26267987704132,0,2.99573227355399,5,3.4091
"38",0,4.47733681447821,0,3.2188758248682,0,2.99573227355399,6,6.83865
"39",4.17438726989564,3.85014760171006,0.693147180559945,3.71357206670431,8,6.14203740558736,92,28.8338
"40",2.99573227355399,2.39789527279837,0.693147180559945,0.693147180559945,0,1.38629436111989,2,3.17351
"41",5.32787616878958,0,0,0.693147180559945,0,4.04305126783455,14,10.279
"42",0,4.85203026391962,4.04305126783455,3.89182029811063,0,2.484906649788,3,1.84703
"43",0,4.9416424226093,3.25809653802148,0.693147180559945,0,3.2188758248682,10,8.35812
"44",4.0943445622221,0,0.693147180559945,1.79175946922805,0,2.30258509299405,2,1.84703
"45",0,0,6.39859493453521,5.83773044716594,0,5.06259503302697,5,5.25012
"46",2.83321334405622,6.7945865808765,7.38150189450671,3.2188758248682,0,5.55295958492162,38,23.5832
"47",4.4188406077966,5.35185813347607,4.7361984483945,3.29583686600433,0,4.07753744390572,17,14.0081
"48",2.63905732961526,0,0,4.82028156560504,0,2.99573227355399,6,6.70477
"49",0,0,0,4.29045944114839,0,3.09104245335832,7,6.94961
"50",6.07764224334903,5.29831736654804,4.75359019110636,3.80666248977032,0,4.26267987704132,37,23.9028
"51",5.19849703126583,4.77912349311153,0,2.83321334405622,0,3.87120101090789,8,5.52481
"52",3.40119738166216,5.45958551414416,2.30258509299405,4.85203026391962,0,4.11087386417331,24,11.3751
"53",5.4971682252932,0,5.68017260901707,0,0,4.8283137373023,14,13.2689
"54",0,2.63905732961526,0,3.80666248977032,0,1.38629436111989,1,0
"55",0,5.57215403217776,4.38202663467388,1.6094379124341,0,4.00733318523247,4,3.37801
"56",4.15888308335967,0,3.13549421592915,5.56068163101553,0,3.93182563272433,2,1.84703
"57",4.92725368515721,0.693147180559945,0,0,0,3.40119738166216,7,6.61084
"58",3.76120011569356,4.58496747867057,0,0,0,2.89037175789616,3,3.32672
"59",5.54907608489522,4.07753744390572,4.12713438504509,0,0,3.66356164612965,5,4.7898
"60",0,4.12713438504509,4.27666611901606,0,0,2.56494935746154,7,3.4091
"61",0,5.11198778835654,5.55682806169954,0,0,4.17438726989564,3,3.4091
"62",3.63758615972639,4.21950770517611,3.40119738166216,0,0,2.63905732961526,3,1.84703
"63",3.36729582998647,0,0,3.17805383034795,0,0,3,3.26838
"64",5.67675380226828,2.07944154167984,0,0,0,3.63758615972639,20,14.8014
"65",7.18311170174328,3.04452243772342,5.91620206260743,0,1,5.6021188208797,29,14.923
"66",5.79301360838414,0.693147180559945,1.09861228866811,0,0,4.33073334028633,13,11.1073
"67",3.97029191355212,6.03068526026126,0,1.6094379124341,1,4.23410650459726,35,20.5668
"68",0,0,0,5.63835466933375,1,4.34380542185368,2,0
"69",0,5.43372200355424,0,3.55534806148941,1,3.68887945411394,3,1.84703
"70",6.08677472691231,0,0,1.94591014905531,0,4.49980967033027,7,7.65102
"71",3.61091791264422,5.04342511691925,0,2.77258872223978,0,3.91202300542815,6,6.098
"72",3.49650756146648,5.14749447681345,0,3.36729582998647,0,3.40119738166216,17,13.8911
"73",3.66356164612965,5.71373280550937,0,3.46573590279973,0,4.02535169073515,7,6.08461
"74",5.35658627467201,3.25809653802148,7.98139158158007,1.6094379124341,0,6.32256523992728,4,3.30169
"75",2.99573227355399,4.00733318523247,3.52636052461616,4.15888308335967,0,3.04452243772342,7,4.15475
"76",1.09861228866811,0,3.71357206670431,0,0,1.38629436111989,2,1.84703
"77",0,0,2.89037175789616,3.2188758248682,0,1.94591014905531,3,4.74807
"78",6.20253551718792,4.77912349311153,0,6.29526600143965,1,5.27299955856375,7,3.08906
"79",4.63472898822964,6.34388043412633,4.43081679884331,5.6021188208797,0,4.68213122712422,13,7.42177
"80",5.8406416573734,5.25749537202778,6.18826412308259,0,1,5.07517381523383,22,11.6079
"81",5.65948221575962,3.25809653802148,3.04452243772342,7.7066129139642,0,6.12686918411419,44,14.6318
"82",0.693147180559945,2.77258872223978,0,4.60517018598809,0,3.2188758248682,3,1.84703
"83",2.63905732961526,4.65396035015752,4.70048036579242,4.40671924726425,0,3.73766961828337,7,4.17741
"84",0.693147180559945,0.693147180559945,0,4.62497281328427,0,3.40119738166216,3,1.84703
