"","V1","V2","bug","loc","bf","hcm"
"1",5.32787616878958,4.0943445622221,0,3.76120011569356,6,3.08906
"2",0,4.40671924726425,0,2.56494935746154,3,3.17351
"3",6.21060007702465,4.79579054559674,0,4.56434819146784,29,17.9092
"4",5.24702407216049,0.693147180559945,0,3.98898404656427,3,3.39209
"5",4.29045944114839,2.89037175789616,0,1.94591014905531,3,2.8654
"6",3.52636052461616,5.21493575760899,0,3.71357206670431,7,7.50839
"7",4.91265488573605,4.83628190695148,0,3.29583686600433,14,12.5709
"8",4.35670882668959,5.22035582507832,0,3.66356164612965,2,1.84703
"9",5.67332326717149,4.48863636973214,0,3.93182563272433,6,4.83045
"10",3.58351893845611,2.30258509299405,0,1.09861228866811,4,4.17741
"11",5.01063529409626,4.39444915467244,0,4.06044301054642,18,14.7305
"12",5.6937321388027,4.51085950651685,0,4.43081679884331,4,0
"13",6.87419849545329,0,0,4.44265125649032,8,5.39677
"14",4.47733681447821,4.47733681447821,0,2.99573227355399,8,4.83045
"15",4.40671924726425,2.99573227355399,0,3.17805383034795,3,3.39209
"16",3.66356164612965,6.31173480915291,0,4.81218435537242,3,1.84703
"17",2.89037175789616,3.66356164612965,0,1.38629436111989,2,0
"18",3.17805383034795,5.33753807970132,0,3.61091791264422,5,5.5048
"19",5.59842195899838,5.68697535633982,0,4.75359019110636,5,4.17741
"20",6.10702288774225,4.65396035015752,0,4.70048036579242,16,7.5628
"21",7.86863689418417,5.77455154554441,0,6.18208490671663,3,1.84703
"22",4.34380542185368,5.94803498918065,0,4.49980967033027,9,5.63443
"23",5.08759633523238,3.09104245335832,0,1.38629436111989,2,0
"24",6.10031895202006,2.19722457733622,0,4.24849524204936,10,9.71828
"25",6.13772705408623,7.33236920592906,1,5.92425579741453,11,9.70413
"26",4.85203026391962,3.49650756146648,0,3.29583686600433,3,2.8654
"27",0,4.11087386417331,0,2.77258872223978,7,5.99636
"28",6.87523208727658,6.53958595561767,1,5.71702770140622,14,4.88878
"29",4.64439089914137,3.73766961828337,0,3.3322045101752,3,1.84703
"30",4.94875989037817,4.45434729625351,0,3.85014760171006,4,4.17741
"31",5.03695260241363,4.99721227376411,0,4.29045944114839,2,0
"32",5.28320372873799,5.78382518232974,1,4.49980967033027,1,0
"33",5.2257466737132,3.3322045101752,0,3.3322045101752,10,11.1128
"34",1.94591014905531,5.49306144334055,0,3.52636052461616,3,1.84703
"35",6.4425401664682,6.16751649088834,0,5.68697535633982,24,6.92707
"36",4.60517018598809,4.66343909411207,0,3.85014760171006,15,12.4918
"37",3.68887945411394,3.87120101090789,0,2.99573227355399,5,3.4091
"38",3.91202300542815,4.14313472639153,0,2.99573227355399,6,6.83865
"39",4.46590811865458,4.18965474202643,8,6.14203740558736,92,28.8338
"40",3.46573590279973,0,0,1.38629436111989,2,3.17351
"41",0,5.33271879326537,0,4.04305126783455,14,10.279
"42",3.95124371858143,5.19849703126583,0,2.484906649788,3,1.84703
"43",4.87519732320115,3.58351893845611,0,3.2188758248682,10,8.35812
"44",4.18965474202643,0,0,2.30258509299405,2,1.84703
"45",0,6.84906628263346,0,5.06259503302697,5,5.25012
"46",7.793999089504,4.72738781871234,0,5.55295958492162,38,23.5832
"47",6.04500531403601,2.39789527279837,0,4.07753744390572,17,14.0081
"48",2.30258509299405,4.85203026391962,0,2.99573227355399,6,6.70477
"49",3.8286413964891,3.3322045101752,0,3.09104245335832,7,6.94961
"50",6.07073772800249,5.89164421182577,0,4.26267987704132,37,23.9028
"51",4.99721227376411,5.12396397940326,0,3.87120101090789,8,5.52481
"52",5.99146454710798,0,0,4.11087386417331,24,11.3751
"53",5.54517744447956,5.63835466933375,0,4.8283137373023,14,13.2689
"54",3.25809653802148,3.49650756146648,0,1.38629436111989,1,0
"55",5.84643877505772,0,0,4.00733318523247,4,3.37801
"56",0,5.84354441703136,0,3.93182563272433,2,1.84703
"57",0.693147180559945,4.92725368515721,0,3.40119738166216,7,6.61084
"58",4.9416424226093,0,0,2.89037175789616,3,3.32672
"59",5.73979291217923,4.18965474202643,0,3.66356164612965,5,4.7898
