"","V1","V2","V3","bug","loc","bf","hcm"
"1",0,4.47733681447821,5.18178355029209,0,3.76120011569356,6,3.08906
"2",4.39444915467244,0,0.693147180559945,0,2.56494935746154,3,3.17351
"3",5.39362754635236,0,5.98896141688986,0,4.56434819146784,29,17.9092
"4",0.693147180559945,0,5.24702407216049,0,3.98898404656427,3,3.39209
"5",4.49980967033027,0,0,0,1.94591014905531,3,2.8654
"6",5.27299955856375,3.13549421592915,0,0,3.71357206670431,7,7.50839
"7",2.83321334405622,1.94591014905531,5.47646355193151,0,3.29583686600433,14,12.5709
"8",5.5683445037611,0,0,0,3.66356164612965,2,1.84703
"9",5.82894561761021,3.68887945411394,0,0,3.93182563272433,6,4.83045
"10",3.63758615972639,0,2.07944154167984,0,1.09861228866811,4,4.17741
"11",4.68213122712422,3.2188758248682,4.59511985013459,0,4.06044301054642,18,14.7305
"12",0,3.36729582998647,5.88332238848828,0,4.43081679884331,4,0
"13",0,6.86066367144829,2.63905732961526,0,4.44265125649032,8,5.39677
"14",4.52178857704904,1.38629436111989,4.39444915467244,0,2.99573227355399,8,4.83045
"15",2.484906649788,0,4.49980967033027,0,3.17805383034795,3,3.39209
"16",0,5.6970934865054,5.67675380226828,0,4.81218435537242,3,1.84703
"17",3.68887945411394,0,2.83321334405622,0,1.38629436111989,2,0
"18",5.08759633523238,1.6094379124341,4.18965474202643,0,3.61091791264422,5,5.5048
"19",5.13579843705026,4.66343909411207,5.66988092298052,0,4.75359019110636,5,4.17741
"20",2.89037175789616,2.39789527279837,6.26530121273771,0,4.70048036579242,16,7.5628
"21",5.09375020080676,7.86480400332846,5.13579843705026,0,6.18208490671663,3,1.84703
"22",4.53259949315326,0,5.90536184805457,0,4.49980967033027,9,5.63443
"23",0,0,5.20948615284142,0,1.38629436111989,2,0
"24",1.09861228866811,5.24174701505964,5.57594910314632,0,4.24849524204936,10,9.71828
"25",2.77258872223978,3.09104245335832,7.57814547241947,1,5.92425579741453,11,9.70413
"26",4.85203026391962,3.49650756146648,0,0,3.29583686600433,3,2.8654
"27",4.06044301054642,1.09861228866811,0.693147180559945,0,2.77258872223978,7,5.99636
"28",7.35436233042148,2.70805020110221,4.4188406077966,1,5.71702770140622,14,4.88878
"29",1.09861228866811,4.36944785246702,4.17438726989564,0,3.3322045101752,3,1.84703
"30",5.25227342804663,0,3.58351893845611,0,3.85014760171006,4,4.17741
"31",5.4380793089232,2.63905732961526,4.07753744390572,0,4.29045944114839,2,0
"32",4.02535169073515,5.50125821054473,5.40267738187228,1,4.49980967033027,1,0
"33",1.79175946922805,4.43081679884331,4.8283137373023,0,3.3322045101752,10,11.1128
"34",5.29330482472449,0,3.93182563272433,0,3.52636052461616,3,1.84703
"35",3.95124371858143,1.6094379124341,6.9555926083963,0,5.68697535633982,24,6.92707
"36",4.4188406077966,0,4.81218435537242,0,3.85014760171006,15,12.4918
"37",0.693147180559945,3.09104245335832,4.17438726989564,0,2.99573227355399,5,3.4091
"38",0,1.09861228866811,4.70048036579242,0,2.99573227355399,6,6.83865
"39",4.63472898822964,0,3.91202300542815,8,6.14203740558736,92,28.8338
"40",3.25809653802148,1.94591014905531,0,0,1.38629436111989,2,3.17351
"41",5.33271879326537,0,0,0,4.04305126783455,14,10.279
"42",0,3.89182029811063,5.21493575760899,0,2.484906649788,3,1.84703
"43",4.0943445622221,0,4.67282883446191,0,3.2188758248682,10,8.35812
"44",3.43398720448515,3.58351893845611,0,0,2.30258509299405,2,1.84703
"45",0,5.19849703126583,6.63725803128446,0,5.06259503302697,5,5.25012
"46",7.19518732017871,7.04838640872188,4.02535169073515,0,5.55295958492162,38,23.5832
"47",5.30826769740121,5.12396397940326,4.15888308335967,0,4.07753744390572,17,14.0081
"48",0,0.693147180559945,4.91265488573605,0,2.99573227355399,6,6.70477
"49",0,0,4.29045944114839,0,3.09104245335832,7,6.94961
"50",6.14203740558736,5.15905529921453,5.05624580534831,0,4.26267987704132,37,23.9028
"51",5.19849703126583,0,4.90527477843843,0,3.87120101090789,8,5.52481
"52",4.99043258677874,0,5.53733426701854,0,4.11087386417331,24,11.3751
"53",6.07764224334903,4.54329478227,2.07944154167984,0,4.8283137373023,14,13.2689
"54",0,1.38629436111989,4.00733318523247,0,1.38629436111989,1,0
"55",2.39789527279837,5.8171111599632,0,0,4.00733318523247,4,3.37801
"56",4.0943445622221,0,5.65599181081985,0,3.93182563272433,2,1.84703
"57",4.92725368515721,0.693147180559945,0,0,3.40119738166216,7,6.61084
"58",4.9416424226093,0,0,0,2.89037175789616,3,3.32672
"59",5.92958914338989,0,0,0,3.66356164612965,5,4.7898
"60",3.04452243772342,4.66343909411207,2.07944154167984,0,2.56494935746154,7,3.4091
"61",2.19722457733622,6.03068526026126,0,0,4.17438726989564,3,3.4091
"62",4.45434729625351,3.58351893845611,2.63905732961526,0,2.63905732961526,3,1.84703
"63",2.56494935746154,0,3.68887945411394,0,0,3,3.26838
"64",5.70044357339069,0,0,0,3.63758615972639,20,14.8014
"65",7.42833319419081,3.17805383034795,0.693147180559945,1,5.6021188208797,29,14.923
"66",5.79605775076537,0,1.09861228866811,0,4.33073334028633,13,11.1073
"67",5.5834963087817,0,5.33271879326537,1,4.23410650459726,35,20.5668
"68",0,2.07944154167984,5.61312810638807,1,4.34380542185368,2,0
"69",3.52636052461616,5.26785815906333,3.61091791264422,1,3.68887945411394,3,1.84703
"70",5.96870755998537,0,4.02535169073515,0,4.49980967033027,7,7.65102
"71",4.21950770517611,4.4188406077966,4.04305126783455,0,3.91202300542815,6,6.098
"72",4.94875989037817,3.95124371858143,3.71357206670431,0,3.40119738166216,17,13.8911
"73",4.66343909411207,5.58724865840025,0,0,4.02535169073515,7,6.08461
"74",6.84054652928869,7.67089483136212,4.47733681447821,0,6.32256523992728,4,3.30169
"75",2.39789527279837,4.26267987704132,4.49980967033027,0,3.04452243772342,7,4.15475
"76",3.76120011569356,0,0,0,1.38629436111989,2,1.84703
"77",0,0,3.73766961828337,0,1.94591014905531,3,4.74807
"78",5.95324333428778,0,6.64509096950564,1,5.27299955856375,7,3.08906
"79",5.80211837537706,4.21950770517611,6.44094654063292,0,4.68213122712422,13,7.42177
"80",6.90575327631146,1.09861228866811,3.09104245335832,1,5.07517381523383,22,11.6079
"81",2.77258872223978,6.33150184989369,7.58984151218266,0,6.12686918411419,44,14.6318
"82",0,0,4.75359019110636,0,3.2188758248682,3,1.84703
"83",3.66356164612965,5.13579843705026,4.61512051684126,0,3.73766961828337,7,4.17741
"84",0.693147180559945,0,4.63472898822964,0,3.40119738166216,3,1.84703
"85",5.32300997913841,0,3.73766961828337,0,3.73766961828337,7,7.65396
"86",0,0.693147180559945,4.20469261939097,0,2.30258509299405,7,5.9245
"87",4.8283137373023,0,2.99573227355399,0,2.77258872223978,10,9.64396
"88",6.17170059741091,0,5.10594547390058,0,4.46590811865458,22,14.7303
"89",0,0,5.52146091786225,0,4.43081679884331,3,3.39209
"90",4.93447393313069,3.49650756146648,0,0,3.29583686600433,7,7.47213
"91",5.44241771052179,3.63758615972639,3.2188758248682,0,3.73766961828337,6,4.17741
"92",4.98360662170834,2.19722457733622,5.78996017089725,0,3.73766961828337,6,6.31013
"93",0,0,6.33682573114644,0,4.53259949315326,7,4.88878
"94",3.40119738166216,5.47646355193151,0,0,3.71357206670431,8,7.50652
"95",5.7037824746562,0,5.57594910314632,0,4.35670882668959,13,11.6827
"96",4.85981240436167,0,3.97029191355212,0,2.83321334405622,11,6.32077
"97",0,1.6094379124341,6.12029741895095,0,1.94591014905531,5,5.00502
"98",2.30258509299405,0,2.77258872223978,0,0,3,4.74807
"99",4.11087386417331,4.24849524204936,0,0,3.29583686600433,4,3.26838
"100",4.87519732320115,4.55387689160054,5.33271879326537,0,4.12713438504509,25,20.1023
"101",4.8283137373023,0,0,0,2.94443897916644,7,6.32077
"102",5.11198778835654,3.80666248977032,5.52545293913178,0,4.31748811353631,14,6.35853
"103",0,0,5.72358510195238,1,4.23410650459726,11,10.799
"104",3.97029191355212,1.6094379124341,4.91998092582813,0,3.3322045101752,3,1.84703
"105",4.53259949315326,5.09375020080676,3.58351893845611,0,1.38629436111989,1,0
"106",1.79175946922805,5.2257466737132,4.0943445622221,0,3.87120101090789,3,1.84703
"107",5.39362754635236,6.56244409369372,0,0,5.06259503302697,29,20.5714
"108",5.10594547390058,0,4.65396035015752,0,3.80666248977032,3,3.37801
"109",3.13549421592915,0,5.79909265446053,2,3.63758615972639,14,12.6094
"110",0,0,4.35670882668959,0,2.56494935746154,2,1.84703
"111",4.29045944114839,0,2.89037175789616,0,1.79175946922805,5,4.88878
"112",0,5.85507192220243,0,0,3.98898404656427,5,6.13764
"113",5.67675380226828,4.4188406077966,5.64190707093811,0,4.18965474202643,12,8.68883
"114",3.97029191355212,5.77144112313002,5.30330490805908,0,4.36944785246702,4,4.49277
"115",2.39789527279837,6.19031540585315,4.61512051684126,0,4.72738781871234,11,8.4307
"116",1.38629436111989,0.693147180559945,4.07753744390572,0,2.77258872223978,7,4.68247
"117",2.63905732961526,6.79234442747081,4.54329478227,1,5.23644196282995,12,5.54403
"118",4.90527477843843,0,0,0,2.94443897916644,4,4.66839
"119",7.09672137849476,3.55534806148941,0,0,4.97673374242057,7,5.57512
"120",0,4.7361984483945,7.01391547481053,1,5.41164605185504,13,5.39677
"121",4.12713438504509,0.693147180559945,3.04452243772342,0,2.30258509299405,1,0
"122",7.48493028328966,6.50428817353665,3.17805383034795,0,6.17586727010576,8,6.25082
"123",5.36597601502185,5.28826703069454,3.58351893845611,1,4.04305126783455,22,14.6647
"124",4.93447393313069,6.19236248947487,0,0,2.89037175789616,13,7.5628
"125",6.95368421087054,3.40119738166216,0,0,5.24174701505964,14,11.1484
"126",5.4249500174814,1.6094379124341,5.11799381241676,0,4.0943445622221,12,4.88878
"127",6.13339804299665,3.13549421592915,0,0,3.61091791264422,6,5.55245
"128",5.18738580584075,7.81399567500279,0,1,5.42053499927229,30,12.4279
"129",3.63758615972639,4.55387689160054,0,0,1.38629436111989,2,0
"130",2.39789527279837,3.68887945411394,3.13549421592915,0,1.94591014905531,4,3.95974
"131",5.22035582507832,0,0,0,3.29583686600433,3,3.24474
"132",0,4.72738781871234,4.64439089914137,0,3.25809653802148,12,8.10609
"133",6.46146817635372,0,3.17805383034795,1,4.77068462446567,23,19.9302
"134",3.17805383034795,2.30258509299405,3.13549421592915,0,1.38629436111989,1,0
"135",6.22059017009974,4.51085950651685,5.78689738136671,0,5.36597601502185,35,20.5079
"136",0,3.3322045101752,5.37527840768417,1,3.73766961828337,22,17.3813
"137",5.34710753071747,0,5.4249500174814,0,4.36944785246702,17,16.2476
"138",4.23410650459726,6.56667242980324,4.15888308335967,0,4.74493212836325,12,10.273
"139",4.55387689160054,3.36729582998647,0,0,2.89037175789616,3,4.57121
"140",4.62497281328427,7.20934025660291,0,3,5.37063802812766,28,11.9059
"141",4.61512051684126,3.04452243772342,4.91265488573605,0,3.95124371858143,9,9.13821
"142",5.34710753071747,2.89037175789616,5.04342511691925,0,4.06044301054642,17,13.2333
