"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","bug","loc","bf","hcm"
"1",0,3.89182029811063,0.693147180559945,0,3.63758615972639,0,2.63905732961526,0,0,0,0,3.13549421592915,1.09861228866811,4.95582705760126,0,0,3.76120011569356,6,3.08906
"2",4.38202663467388,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,2.56494935746154,3,3.17351
"3",0,0,1.6094379124341,0,4.69134788222914,0,0,0,0,0.693147180559945,0,6.19236248947487,2.484906649788,1.79175946922805,0,0,4.56434819146784,29,17.9092
"4",0,0,0,3.25809653802148,0,3.87120101090789,0.693147180559945,0,0,1.09861228866811,0,4.75359019110636,0,0,0,0,3.98898404656427,3,3.39209
"5",0,0,0,0,0,0,0,0,3.61091791264422,0.693147180559945,0,2.39789527279837,0,0,3.76120011569356,0,1.94591014905531,3,2.8654
"6",0,2.19722457733622,0,0,0,1.09861228866811,0,1.09861228866811,5.16478597392351,0,3.43398720448515,0,0,0,0,0,3.71357206670431,7,7.50839
"7",0,3.46573590279973,1.38629436111989,4.99721227376411,0,0,3.40119738166216,0.693147180559945,0,0,0,1.79175946922805,2.39789527279837,3.49650756146648,1.09861228866811,0,3.29583686600433,14,12.5709
"8",4.31748811353631,0,4.30406509320417,0,0,0,0,0,4.29045944114839,0,0,3.3322045101752,0,0,2.77258872223978,0,3.66356164612965,2,1.84703
"9",4.81218435537242,1.09861228866811,4.17438726989564,0,0,0,0,0,0,0,0,0,0.693147180559945,0,5.24702407216049,0,3.93182563272433,6,4.83045
"10",0.693147180559945,0,0.693147180559945,0,0,0,0,0,2.30258509299405,0,0,3.52636052461616,0,0,0,0,1.09861228866811,4,4.17741
"11",0.693147180559945,0,0,0,0,0,1.6094379124341,0,0,0,0,4.67282883446191,2.39789527279837,0,4.69134788222914,0,4.06044301054642,18,14.7305
"12",0,0,0,5.79909265446053,0,3.3322045101752,3.43398720448515,0,0,0,0,0,0,0,0,0,4.43081679884331,4,0
"13",0,1.38629436111989,0,4.74493212836325,0,6.36647044773144,0,0,0,5.53338948872752,2.83321334405622,0,0,0,0,0,4.44265125649032,8,5.39677
"14",4.30406509320417,1.09861228866811,0,0,0,0,0,0,0,0,2.484906649788,3.68887945411394,3.91202300542815,0,0,0,2.99573227355399,8,4.83045
"15",0,3.63758615972639,0,0,0,0,0,0,0,0,0,4.15888308335967,0,0,0,0,3.17805383034795,3,3.39209
"16",0,0,0.693147180559945,0,0,0,0,0,0,1.94591014905531,6.36647044773144,0,0,0,0,0,4.81218435537242,3,1.84703
"17",3.13549421592915,2.56494935746154,0,0,0,0,3.04452243772342,0,0,0,0,0,0,0,0.693147180559945,0,1.38629436111989,2,0
"18",2.07944154167984,2.63905732961526,0,3.13549421592915,0,0,0,0,0,0,0,0,0,0,5.24174701505964,0,3.61091791264422,5,5.5048
"19",0,0.693147180559945,0,0,4.969813299576,0,0,0,0,0,3.71357206670431,5.2257466737132,0.693147180559945,0,5.26785815906333,0,4.75359019110636,5,4.17741
"20",0,0,1.38629436111989,2.56494935746154,0,0,0,3.95124371858143,0,0,1.09861228866811,6.18208490671663,0,0,0.693147180559945,0,4.70048036579242,16,7.5628
"21",3.36729582998647,0,0,0,4.93447393313069,5.94017125272043,0,0,3.71357206670431,7.56423847517049,3.63758615972639,5.27811465923052,4.969813299576,0,3.87120101090789,0,6.18208490671663,3,1.84703
"22",4.76217393479776,0,3.63758615972639,4.26267987704132,0,0,4.81218435537242,0,0,0,0,4.72738781871234,0,0.693147180559945,0,0,4.49980967033027,9,5.63443
"23",0,0,0,0,0,0,4.00733318523247,3.55534806148941,0,0,0.693147180559945,4.54329478227,0,0,0,0,1.38629436111989,2,0
"24",0,0,0,1.79175946922805,0,0,0,5.08759633523238,0,0,0,4.0943445622221,0,5.43372200355424,0,0,4.24849524204936,10,9.71828
"25",0,5.08140436498446,0,6.40357419793482,0,0,7.10578612948127,0,0,0,0,0,0,0,2.30258509299405,1,5.92425579741453,11,9.70413
"26",2.56494935746154,0.693147180559945,0,3.17805383034795,0,0.693147180559945,0,4.48863636973214,0,1.79175946922805,0,1.38629436111989,0,0,3.29583686600433,0,3.29583686600433,3,2.8654
"27",3.55534806148941,0,0,1.38629436111989,0,0,0,0,1.09861228866811,0,0,0,0,0,3.09104245335832,0,2.77258872223978,7,5.99636
"28",6.8596149036542,0,6.2841341610708,4.33073334028633,0,2.56494935746154,4.0943445622221,1.09861228866811,3.17805383034795,0,0,0,0,0,0,1,5.71702770140622,14,4.88878
"29",0,0,0,0,0,3.13549421592915,1.79175946922805,0,2.56494935746154,3.09104245335832,2.94443897916644,3.95124371858143,2.77258872223978,0,0,0,3.3322045101752,3,1.84703
"30",3.3322045101752,0,0.693147180559945,0,0,0,0,0,3.04452243772342,0,0,4.59511985013459,0,0,4.38202663467388,0,3.85014760171006,4,4.17741
"31",0,0,3.36729582998647,1.6094379124341,4.49980967033027,0,0,3.95124371858143,4.54329478227,0,3.52636052461616,1.09861228866811,0,0,0,0,4.29045944114839,2,0
"32",3.29583686600433,0,1.38629436111989,0,3.95124371858143,0,0,0,0,3.58351893845611,3.58351893845611,4.48863636973214,5.64544689764324,0,0,1,4.49980967033027,1,0
"33",0,0,2.19722457733622,0,0,0,0,1.94591014905531,0,0,0,0,0,5.29330482472449,0,0,3.3322045101752,10,11.1128
"34",0,1.09861228866811,3.09104245335832,0,0,0,0,0,5.24702407216049,0,0,3.3322045101752,0,2.30258509299405,0,0,3.52636052461616,3,1.84703
"35",1.38629436111989,0,0,0,3.95124371858143,6.03548143252476,4.60517018598809,0,5.56452040732269,0,0,5.61312810638807,0,0,0,0,5.68697535633982,24,6.92707
"36",0,0,0,0,0.693147180559945,0,0,4.17438726989564,2.70805020110221,0,3.73766961828337,4.44265125649032,0,0,0,0,3.85014760171006,15,12.4918
"37",0,0,0,0,0,0,0,0,0,0.693147180559945,0,3.25809653802148,3.95124371858143,1.94591014905531,1.38629436111989,0,2.99573227355399,5,3.4091
"38",0,0,0,0,3.2188758248682,0,0,0,0,0,3.04452243772342,3.93182563272433,0,0,2.89037175789616,0,2.99573227355399,6,6.83865
"39",4.40671924726425,0,0,1.09861228866811,0,0,0.693147180559945,0,0,0,0,3.63758615972639,0,3.43398720448515,0,8,6.14203740558736,92,28.8338
"40",0,0,0,2.56494935746154,2.07944154167984,0,0,0,0,0,0,0,0,2.56494935746154,0,0,1.38629436111989,2,3.17351
"41",0.693147180559945,0,3.40119738166216,2.07944154167984,0,0,0,1.09861228866811,2.70805020110221,0,0,0,5.03695260241363,0,0,0,4.04305126783455,14,10.279
"42",0,0,0,0,3.8286413964891,3.04452243772342,0,0,0,0,4.21950770517611,4.40671924726425,2.94443897916644,0,0,0,2.484906649788,3,1.84703
"43",0,1.38629436111989,0,0,3.09104245335832,0,0,0,0,0,0,4.95582705760126,0,0,0,0,3.2188758248682,10,8.35812
"44",0,0,0,0,0,0,0,4.07753744390572,0,0,0,0,0,1.94591014905531,0.693147180559945,0,2.30258509299405,2,1.84703
"45",0,0,5.11799381241676,0.693147180559945,0,0,0,0,0,1.79175946922805,6.64248680136726,0,1.6094379124341,0,0,0,5.06259503302697,5,5.25012
