"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","bug","loc","bf","hcm"
"1",2.56494935746154,0,0,1.38629436111989,0,0,0,0.693147180559945,0,0,0,5.8664680569333,0,4.82028156560504,1.94591014905531,0,0,0,0,5.14749447681345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14749447681345,0.693147180559945,0,0,1.94591014905531,0,0,1.09861228866811,0,0,0,0,4.0943445622221,0,0,1.09861228866811,0,0,0,0,0,0,4.4188406077966,7,17.6471
"2",0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,4.47733681447821,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0.693147180559945,0,3.55534806148941,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,2.19722457733622,0.693147180559945,0,0,0,0,2.07944154167984,0,4.47733681447821,0,3.2188758248682,0,0,0,0,0,0,0,0,2.94443897916644,0,6.70304
"3",0,0,0,0,5.01063529409626,0,1.09861228866811,0,0,0,0,0,0,0,0,2.83321334405622,0.693147180559945,0,0,0,0,0,0,0,0,0,2.63905732961526,0,1.09861228866811,0,2.63905732961526,0,0.693147180559945,0,0,2.89037175789616,3.68887945411394,0.693147180559945,2.94443897916644,3.13549421592915,0,0,0,2.70805020110221,0,1.38629436111989,2.39789527279837,1.09861228866811,0,0,0,0,0,0,1.09861228866811,0,3.93182563272433,3,10.4982
"4",1.38629436111989,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,5.8636311755981,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,5.95583736946483,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,6.47543271670409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,2.89037175789616,0,0,0,4.24849524204936,4,7.05208
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,2.63905732961526,1.38629436111989,0,0.693147180559945,0,0,0,0,0,0,0,0,0,4.31748811353631,0,0,0,0,0,0,0,1.09861228866811,0,2.99573227355399,0,0,3.29583686600433,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,4.07501
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,4.7361984483945,0,5.22035582507832,0,0,0,0.693147180559945,0,0,0,0,0,0,1.6094379124341,0,0,0,3.91202300542815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1.94591014905531,1,2.2601
"7",0,0,0,0,0,0.693147180559945,0,3.95124371858143,0,0,0,0,0,1.09861228866811,0,4.49980967033027,0,3.89182029811063,0,0,0,0,0,0,1.09861228866811,0,2.07944154167984,0,0,0,2.83321334405622,0,2.56494935746154,1.6094379124341,0.693147180559945,0,0,4.89783979995091,2.63905732961526,0,0,0,0,1.94591014905531,0,0,0,2.39789527279837,1.09861228866811,0,0,0,0,0,0.693147180559945,0,4.04305126783455,3,3.92315
"8",0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,0,0,0,4.85203026391962,1.09861228866811,2.30258509299405,0,0,0,0,0,2.30258509299405,1.38629436111989,0,1.79175946922805,0,5.48479693349065,0,0,0,0.693147180559945,0,2.89037175789616,0,0,0,0,5.73009978297357,0,0,0,0,1.09861228866811,2.07944154167984,0,0,0,0,0,1.09861228866811,1.79175946922805,0,2.99573227355399,0,0.693147180559945,0,1.94591014905531,4,8.58795
"9",0,0,0,1.09861228866811,0,0,0,0,2.07944154167984,0,0.693147180559945,0,0,1.94591014905531,0,0,0,0,0,9.11723775371386,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,2.39789527279837,0.693147180559945,0,0,0,0,0,0,0,3.66356164612965,1.94591014905531,0.693147180559945,0,0,0.693147180559945,0,0,0,0,1.38629436111989,0,0,0,0,6.74051935960622,20,27.6193
"10",0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,4.70048036579242,2.56494935746154,3.63758615972639,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,4.72738781871234,0,3.8286413964891,0,0,0,4.26267987704132,0.693147180559945,0,0,0,0,0,0,0,0,0,0,3.04452243772342,0,0,0,3.09104245335832,1.09861228866811,0,1,3.2188758248682,5,12.3914
