"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","bug","loc","bf","hcm"
"1",3.43398720448515,1.79175946922805,1.09861228866811,0,0,2.484906649788,5.54126354515843,0,0,1.09861228866811,0,0,5.50125821054473,0,0,4.78749174278205,0,0,5.03695260241363,4.49980967033027,0,4.4188406077966,7,17.6471
"2",1.79175946922805,0,2.70805020110221,0,0,0,0,0,3.04452243772342,0,0,0,1.38629436111989,0.693147180559945,0,4.72738781871234,4.12713438504509,3.68887945411394,0,0,0,2.94443897916644,0,6.70304
"3",2.99573227355399,0,4.48863636973214,0,0.693147180559945,0,0,0,0,0,0,4.91998092582813,0,4.02535169073515,0,3.29583686600433,0,0,0,0,0,3.93182563272433,3,10.4982
"4",0.693147180559945,0,0,0,0.693147180559945,3.89182029811063,3.46573590279973,0,0,0,0,0,0,4.06044301054642,0,3.66356164612965,0,7.08590146436561,0,3.78418963391826,0,4.24849524204936,4,7.05208
"5",0,0,0,0,0,1.94591014905531,1.79175946922805,0,0,0,0,0,1.6094379124341,0,1.38629436111989,0,0,4.80402104473326,0,0,0,1.38629436111989,0,4.07501
"6",0,0,0,0,0,3.13549421592915,0,0,0,0,0,5.5683445037611,0,0,0,3.2188758248682,0,0,0.693147180559945,3.80666248977032,0,1.94591014905531,1,2.2601
"7",0,0,1.94591014905531,0,1.38629436111989,0,2.83321334405622,3.76120011569356,0,0,0,4.80402104473326,0,4.79579054559674,0,0,0,4.34380542185368,0,2.70805020110221,0,4.04305126783455,3,3.92315
"8",2.99573227355399,0,0,0,0,3.2188758248682,0,0,0,2.484906649788,0,5.45958551414416,1.09861228866811,0.693147180559945,0,0,0.693147180559945,5.93753620508243,0,4.51085950651685,0,1.94591014905531,4,8.58795
"9",0,2.19722457733622,2.56494935746154,0,2.07944154167984,0,0,0,4.969813299576,0,0,0,0,0,0,0,0,0,2.89037175789616,9.10509096125709,0,6.74051935960622,20,27.6193
"10",0,0,0,0,1.79175946922805,3.40119738166216,0,1.6094379124341,0,0,0,4.33073334028633,0,3.49650756146648,0,3.61091791264422,0,5.44241771052179,3.13549421592915,0,1,3.2188758248682,5,12.3914
"11",1.38629436111989,0,0,0,0,2.99573227355399,0,0,0,0,0,4.93447393313069,0,0,0,3.36729582998647,0,3.13549421592915,0,0,0,0,1,0
"12",0,0,0,0,0,0,0,0,1.38629436111989,0,0,3.68887945411394,0,0,0,1.94591014905531,0,0,0,0,0,1.38629436111989,1,7.82241
"13",4.0943445622221,0.693147180559945,0,0.693147180559945,0,4.31748811353631,0,0,0,2.19722457733622,0,4.7361984483945,0,4.31748811353631,4.18965474202643,0,0,5.52146091786225,3.58351893845611,0.693147180559945,0,3.80666248977032,4,7.99162
"14",3.61091791264422,0,0,5.21493575760899,3.78418963391826,0.693147180559945,0,2.484906649788,3.97029191355212,1.6094379124341,0,1.79175946922805,0,0,0,6.38856140554563,3.61091791264422,3.78418963391826,1.38629436111989,4.18965474202643,1,4.82028156560504,14,10.2625
"15",0,0,0,1.79175946922805,0,0,1.38629436111989,1.38629436111989,0,0,0,0,0,0,0,3.68887945411394,0,0,0,1.09861228866811,0,1.94591014905531,1,0
"16",4.67282883446191,0,1.6094379124341,7.16239749735572,0,2.56494935746154,4.4188406077966,0,1.09861228866811,3.55534806148941,0,1.79175946922805,1.09861228866811,0,4.86753445045558,8.47491179915963,0,0,2.07944154167984,2.30258509299405,1,5.85220247977447,19,20.2197
"17",3.2188758248682,0,0,6.06610809010375,0,4.52178857704904,0,0,0,0,1.09861228866811,3.09104245335832,1.79175946922805,0,0,6.09356977004514,0,3.25809653802148,0,0,0,4.38202663467388,10,13.4356
"18",0,0,0,5.3890717298165,0,2.56494935746154,4.29045944114839,0,0,0,0,0,0,0,0,0.693147180559945,3.43398720448515,0,0,0,0,3.76120011569356,0,5.07933
"19",2.19722457733622,0,2.70805020110221,5.39362754635236,0.693147180559945,0,4.89783979995091,0,2.94443897916644,0,0,5.71042701737487,0,4.04305126783455,5.33753807970132,5.56068163101553,0,0,0,5.00394630594546,1,4.85981240436167,6,13.0232
"20",6.06145691892802,0,0,0,0,4.46590811865458,0.693147180559945,0,0,0,0,0,3.36729582998647,0,4.46590811865458,0,0,0,0,1.09861228866811,0,4.12713438504509,6,4.13346
"21",5.48479693349065,0,0,0,0,3.91202300542815,0,0,0,1.38629436111989,0,0,0,0,4.35670882668959,0,0,0,0,0,0,3.98898404656427,5,7.93371
"22",3.29583686600433,0,0,0,0,2.70805020110221,2.77258872223978,0,0,3.98898404656427,0,0,5.37989735354046,4.21950770517611,5.5834963087817,0,0,0,5.16478597392351,0,2,5.25227342804663,11,10.0587
"23",6.40025744530882,0,0,0.693147180559945,0,2.19722457733622,0,0,0,0,0,0,0,0,4.51085950651685,0,0,0,0,0,0,4.59511985013459,6,6.84846
"24",6.82437367004309,0,0,2.19722457733622,0,0.693147180559945,0,0,0,0,0,0,0,0,5.03695260241363,0,0,0,0,0,0,5.14166355650266,8,6.84846
"25",6.01859321449623,0,0,0,0,2.30258509299405,0,0,0,0,0.693147180559945,0,2.39789527279837,0,1.79175946922805,0,0,0,0,0,0,3.98898404656427,7,7.95479
"26",6.32076829425058,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,4.24849524204936,0,4.70048036579242,8,7.95479
