"","V1","V2","V3","V4","bug","loc","bf","hcm"
"1",6.08904487544685,5.02388052084628,2.39789527279837,5.73334127689775,0,4.4188406077966,7,17.6471
"2",0,5.21493575760899,0,4.29045944114839,0,2.94443897916644,0,6.70304
"3",2.63905732961526,2.83321334405622,0,5.6937321388027,0,3.93182563272433,3,10.4982
"4",3.80666248977032,4.23410650459726,0,7.17165682276851,0,4.24849524204936,4,7.05208
"5",2.39789527279837,2.56494935746154,0,4.77068462446567,0,1.38629436111989,0,4.07501
"6",2.63905732961526,4.0943445622221,0,5.63835466933375,0,1.94591014905531,1,2.2601
"7",4.27666611901606,1.79175946922805,0,5.77765232322266,0,4.04305126783455,3,3.92315
"8",4.70953020131233,4.55387689160054,2.07944154167984,6.30991827822652,0,1.94591014905531,4,8.58795
"9",0,8.70963008195129,1.09861228866811,8.04750951098142,0,6.74051935960622,20,27.6193
"10",2.07944154167984,3.80666248977032,1.6094379124341,5.93753620508243,1,3.2188758248682,5,12.3914
"11",0,3.36729582998647,0,5.20948615284142,0,0,1,0
"12",0,3.40119738166216,0.693147180559945,2.94443897916644,0,1.38629436111989,1,7.82241
"13",1.38629436111989,5.12989871492307,3.36729582998647,6.1779441140506,0,3.80666248977032,4,7.99162
"14",5.12989871492307,6.5410299991899,1.38629436111989,5.36597601502185,1,4.82028156560504,14,10.2625
"15",1.38629436111989,3.89182029811063,0,0.693147180559945,0,1.94591014905531,1,0
"16",7.028201432058,8.55967780302239,1.94591014905531,4.8283137373023,1,5.85220247977447,19,20.2197
"17",4.51085950651685,6.69703424766648,0,4.95582705760126,0,4.38202663467388,10,13.4356
"18",4.56434819146784,5.40267738187228,0,2.89037175789616,0,3.76120011569356,0,5.07933
"19",5.89164421182577,6.31896811374643,3.49650756146648,6.03548143252476,1,4.85981240436167,6,13.0232
"20",3.13549421592915,6.4118182677099,0.693147180559945,0,0,4.12713438504509,6,4.13346
"21",2.07944154167984,5.89164421182577,0.693147180559945,0,0,3.98898404656427,5,7.93371
"22",5.96870755998537,4.45434729625351,5.30330490805908,5.04985600724954,2,5.25227342804663,11,10.0587
"23",0,6.55250788703459,0,0,0,4.59511985013459,6,6.84846
"24",0,6.98656645940643,0,0,0,5.14166355650266,8,6.84846
"25",0,6.07764224334903,0,0,0,3.98898404656427,7,7.95479
"26",0,6.44094654063292,0,0,0,4.70048036579242,8,7.95479
"27",0,6.82546003625531,1.94591014905531,0,0,4.70953020131233,9,9.64599
"28",0,5.83773044716594,0.693147180559945,0,0,3.8286413964891,5,7.95479
"29",3.25809653802148,6.24804287450843,2.99573227355399,0,0,4.47733681447821,9,7.95479
"30",0,6.37161184723186,1.79175946922805,0,0,4.59511985013459,8,7.95479
"31",0,6.60258789218934,6.03068526026126,0,0,4.89034912822175,9,7.95479
"32",4.90527477843843,8.88516409509682,6.11809719804135,6.60123011872888,0,6.69084227741856,66,24.6967
"33",6.33327962813969,8.2776661608515,9.73814109994814,0,1,7.57455848420248,196,37.2855
"34",0,8.90544431878971,2.19722457733622,0,0,3.97029191355212,11,7.97103
"35",5.32300997913841,8.81477608854528,4.85981240436167,5.605802066296,0,6.48920493132532,26,14.5995
"36",4.07753744390572,7.60489448081162,6.45047042214418,7.539027055824,1,6.05678401322862,38,28.8029
"37",2.94443897916644,6.28226674689601,6.97728134163075,1.09861228866811,0,5.5683445037611,7,8.11626
"38",4.21950770517611,5.21493575760899,0,4.76217393479776,0,3.04452243772342,2,2.96868
"39",4.52178857704904,4.94875989037817,4.56434819146784,0,0,4.14313472639153,6,6.89725
"40",0,8.6079475546847,2.07944154167984,0,0,2.77258872223978,5,7.97103
"41",7.08673793451058,4.14313472639153,0,3.76120011569356,0,1.38629436111989,19,18.3087
"42",6.83410873881384,7.50823877467866,2.56494935746154,3.09104245335832,0,4.66343909411207,23,14.6512
"43",0,5.87211778947542,0,0,0,3.87120101090789,5,7.95479
"44",0,5.5834963087817,0,0,0,3.46573590279973,3,7.95479
"45",0,6.50578406012823,0,0,0,4.31748811353631,6,2.96868
"46",0,5.8348107370626,0,0,0,3.97029191355212,5,7.95479
"47",1.09861228866811,5.97888576490112,0,0,0,4.0943445622221,6,7.95479
"48",0,6.35437004079735,1.6094379124341,0,0,4.67282883446191,8,7.95479
"49",0.693147180559945,6.40522845803084,0,0,0,4.68213122712422,8,7.95479
"50",0.693147180559945,6.69084227741856,4.30406509320417,0,1,5.39816270151775,9,14.7589
"51",2.30258509299405,5.44673737166631,0.693147180559945,0,0,2.70805020110221,1,6.70304
"52",1.09861228866811,5.65248918026865,0,0,0,2.94443897916644,1,6.70304
"53",2.19722457733622,7.36770857237437,0,0,0,5.34233425196481,14,9.64335
