"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","bug","loc","bf","hcm"
"1",0,1.38629436111989,0,0,0,0,0,0,0,0,4.62497281328427,0,0,0,0,0,0,6.19236248947487,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,1.79175946922805,0,3.8286413964891,0,2.99573227355399,0,0,0,0,0,0,5.06890420222023,0.693147180559945,0.693147180559945,1.09861228866811,0,0,4.43081679884331,0,0,4.4188406077966,7,17.6471
"2",0,0,0,0,0,2.30258509299405,3.2188758248682,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55387689160054,0.693147180559945,0,0,0,0,1.94591014905531,0,4.27666611901606,1.6094379124341,3.66356164612965,1.09861228866811,1.79175946922805,0,0,0,0,0,2.94443897916644,0,6.70304
"3",0.693147180559945,2.83321334405622,0,0.693147180559945,3.13549421592915,0,0,0,0,0,0,1.09861228866811,1.38629436111989,0,3.46573590279973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10594547390058,3.76120011569356,2.30258509299405,0,0,0,0,0,0,0,0.693147180559945,0,1.09861228866811,0,3.43398720448515,0,0,0.693147180559945,0,3.93182563272433,3,10.4982
"4",0,1.09861228866811,0,0,3.71357206670431,0,0,3.55534806148941,0,0,0,0,1.09861228866811,0,6.22059017009974,0,0,0,1.38629436111989,0,0.693147180559945,5.32787616878958,0,0,2.30258509299405,2.19722457733622,0,1.09861228866811,0,0,0,0,0,4.46590811865458,1.38629436111989,1.94591014905531,0,0,0,1.38629436111989,0,0,2.30258509299405,0,6.21060007702465,0,0.693147180559945,0,0,0,0,4.24849524204936,4,7.05208
"5",0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,3.73766961828337,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,3.40119738166216,2.484906649788,0,2.484906649788,0,0,0,0,0,0,0,0,2.63905732961526,0,0,0,0,0,0,0,3.43398720448515,0,0,0,0,0,0,1.38629436111989,0,4.07501
"6",0,0,1.6094379124341,0,0,0,0,1.79175946922805,0,0,1.09861228866811,0,0,0,0,0,1.94591014905531,0,2.77258872223978,0,0,2.99573227355399,0,0,0,2.30258509299405,0,0,0,1.38629436111989,0,0,5.24174701505964,4.33073334028633,0.693147180559945,0.693147180559945,0,0,0,0,0,0,0,0,3.2188758248682,0,0,0,0,0,0,1.94591014905531,1,2.2601
"7",0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,3.55534806148941,0,2.99573227355399,0,0,0,0,0,1.38629436111989,0,0,2.89037175789616,0,5.41164605185504,3.49650756146648,0,0,0,0,0.693147180559945,2.484906649788,0,0,0,2.19722457733622,3.85014760171006,0,0,0.693147180559945,0,1.09861228866811,0,4.04305126783455,3,3.92315
"8",0,0,0,0,0.693147180559945,0,0,4.70953020131233,0,0,0,0,0,2.63905732961526,2.30258509299405,0,0,0,0,3.93182563272433,0,3.95124371858143,0,1.09861228866811,0,5.61677109766657,0,0,0,0,0,0,1.6094379124341,4.71849887129509,4.78749174278205,0,0,0,0,2.39789527279837,0,0,0,0,0,0,1.38629436111989,0,0.693147180559945,1.09861228866811,0,1.94591014905531,4,8.58795
"9",0,0,0,0,0,0,0,0,0,0,0,5.5834963087817,0,0,0,1.09861228866811,0,0,9.08613676851688,0,0,0,2.83321334405622,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,4.20469261939097,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,1.09861228866811,0,0,0,0,6.74051935960622,20,27.6193
"10",0,0,0,0,1.6094379124341,0,1.09861228866811,0,0,0,0,0,0,0,3.04452243772342,0,1.6094379124341,0,0,0.693147180559945,0,4.30406509320417,0,2.30258509299405,0,0,0,0,0,0,0.693147180559945,0,4.04305126783455,4.72738781871234,3.43398720448515,0,0.693147180559945,0,0.693147180559945,1.09861228866811,0,0,0,2.07944154167984,4.70953020131233,0,0,0,0,0,1,3.2188758248682,5,12.3914
"11",0,1.09861228866811,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,4.15888308335967,0,2.70805020110221,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12713438504509,3.87120101090789,0,2.56494935746154,0,0,0,0,0,0,0,0,2.30258509299405,0,0,0,0,0.693147180559945,0,0,1,0
"12",0,0,0,0,0.693147180559945,0,0,2.30258509299405,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,2.63905732961526,0,0,2.07944154167984,0,0,0,0,0,0,0,2.77258872223978,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1.38629436111989,1,7.82241
