"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","bug"
"1",0,0,4.21950770517611,0,0,0,0,0,0,0,0,0,0,2.89037175789616,0,2.39789527279837,0
"2",0,0,1.09861228866811,0,0,0,0,0,0,0,3.98898404656427,0,0,0,0,6.09582456243222,0
"3",0,4.89034912822175,0,0,0,2.56494935746154,4.35670882668959,0,0,0,4.31748811353631,0,0,0,0,0,1
"4",0,0,0,0,3.17805383034795,2.77258872223978,2.07944154167984,0,1.94591014905531,0,0,2.484906649788,0,0,0,0.693147180559945,0
"5",0,0,0,0,0.693147180559945,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,3.95124371858143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,1.09861228866811,0,6.01126717440416,5.59471137960184,0,0.693147180559945,0,0,2.19722457733622,0,0,0,0,0
"8",0.693147180559945,1.09861228866811,0,0,0,0,0,3.46573590279973,0,0,0,2.07944154167984,0,0,0,0,0
"9",0.693147180559945,0,0,0,2.484906649788,0,0,2.63905732961526,0,0,1.79175946922805,3.71357206670431,0,0,0,0,1
"10",0,0,0,0,0,0,0,4.39444915467244,0,0,0,0,0,3.40119738166216,0,0,0
"11",0,4.44265125649032,0,0,0,0,6.83195356556585,1.79175946922805,0,0,0,0,0,0,0,2.94443897916644,1
"12",2.94443897916644,0,1.38629436111989,0,0,4.4188406077966,1.09861228866811,0,0,0,0,0,4.77912349311153,2.89037175789616,0,0.693147180559945,0
"13",0,0,3.85014760171006,0,0,0,0,0,0,0,0,0.693147180559945,0,2.89037175789616,0,0,0
"14",1.09861228866811,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0.693147180559945,6.50279004591562,4.00733318523247,0,0,1.38629436111989,0,0,0,0,0,1.09861228866811,1.6094379124341,0,0
"16",0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0
"17",3.76120011569356,3.40119738166216,4.07753744390572,4.59511985013459,0,5.21493575760899,5.24702407216049,0,0,7.56786260546388,0,0,8.64681695920974,3.89182029811063,5.25227342804663,4.89034912822175,3
"18",0,0,3.73766961828337,0,0,0,0,0,0,0,0,0,0,3.3322045101752,0,0,0
"19",0,0,4.54329478227,1.38629436111989,0,0,4.14313472639153,2.07944154167984,5.39816270151775,0,0,0,1.94591014905531,5.86929691313377,4.36944785246702,0,0
"20",0,0,0,0,0,0,0,0,0,0,3.04452243772342,4.64439089914137,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,5.8111409929767,0,0,3.89182029811063,0,0,0,1
"22",0,0,3.76120011569356,0,0,0,0,0,0,0,0,2.83321334405622,3.71357206670431,1.38629436111989,0,0,0
"23",0,0,4.18965474202643,0,0,1.6094379124341,0,0.693147180559945,3.17805383034795,0,0,0,4.07753744390572,5.23110861685459,6.34388043412633,0,0
"24",0,1.6094379124341,0.693147180559945,0,0,0,0,0.693147180559945,0,3.97029191355212,0.693147180559945,2.94443897916644,0,0,0,4.12713438504509,0
"25",1.38629436111989,1.09861228866811,1.38629436111989,0,0,0,3.40119738166216,0,0,0,0,0,0,0,0,0,0
"26",3.13549421592915,0,0,0,0,3.29583686600433,4.26267987704132,0,0,6.44571981938558,4.93447393313069,0,0,0,0,0,1
"27",0,0,0,0,0,0,0,0,0,0,0,2.77258872223978,0,3.04452243772342,5.59471137960184,0,1
"28",3.76120011569356,0,0,0,0,0,3.97029191355212,4.97673374242057,0,0.693147180559945,0,0,0,0,0,0,2
"29",0,0,2.89037175789616,0,1.79175946922805,0,0,0,0,0,0,2.77258872223978,0,0,0,2.99573227355399,0
"30",0,0,2.63905732961526,2.99573227355399,1.09861228866811,0,0,0,0,0,0,0,3.36729582998647,0,0,5.44241771052179,0
"31",0,0,1.09861228866811,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0
"32",0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,1.6094379124341,0,0,0
"33",0.693147180559945,0,0,0,0,0,0,0.693147180559945,4.67282883446191,0,0,0.693147180559945,0,0,1.6094379124341,2.77258872223978,0
"34",0,0,3.61091791264422,0,0,0,0,0,0,0,0,2.83321334405622,0,0,0,0,0
"35",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,1.38629436111989,0,1.38629436111989,0,0,0,0,0,0,0,0,2.70805020110221,0,0,0
"37",0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0
"38",0,1.09861228866811,0,0,0,0,0,4.30406509320417,0,0,0,0,0,2.30258509299405,0,0,0
"39",4.71849887129509,0,0,0,0,0,0,7.22620901010067,0,0,0,5.11198778835654,0,0,0,5.97888576490112,0
"40",0,3.09104245335832,4.96284463025991,4.11087386417331,0,0,0,0,0,0,6.09356977004514,7.61874237767041,0,0.693147180559945,0,2.83321334405622,4
"41",0,4.40671924726425,1.09861228866811,0,4.12713438504509,0,0,0,0,0,0,3.66356164612965,5.96357934361845,4.39444915467244,0,0,0
"42",4.12713438504509,0,0,2.99573227355399,1.38629436111989,0,3.76120011569356,3.04452243772342,0,0,0,4.49980967033027,3.36729582998647,3.66356164612965,0,0,1
"43",2.39789527279837,1.09861228866811,0,0,0,3.85014760171006,0,7.00940893270864,0,0,0,1.09861228866811,0,0,4.52178857704904,5.6970934865054,3
