"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","bug"
"1",0,0,0,4.07753744390572,0,0,3.61091791264422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,3.43398720448515,0,0.693147180559945,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,6.08221891037645,0.693147180559945,0,3.2188758248682,0
"3",2.56494935746154,0,4.49980967033027,0,0,0,0,0,4.70953020131233,0,0,0,0,0,0,4.44265125649032,0,0,0,0,0,0,0,1
"4",0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,3.40119738166216,0,0,0,0,0,0,1.09861228866811,0,3.46573590279973,0,0
"5",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,3.95124371858143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2.39789527279837,0,1.09861228866811,0,0,0,0,2.89037175789616,3.29583686600433,0,0,0,0,0,0,0,3.71357206670431,0.693147180559945,0,0,0,6.3818160174061,0,0
"8",0,0,0,0,0,0,0,0.693147180559945,0,0,2.63905732961526,0,0,0,0,0,3.3322045101752,0,0,0,0,0,0,0
"9",0.693147180559945,0,0,3.17805383034795,0,1.6094379124341,1.94591014905531,0,0,0,0,0,0,0,0.693147180559945,0,3.58351893845611,0,0,0,0,0,0,1
"10",0,0,0,0,0,0,0,1.38629436111989,0,0,3.87120101090789,0.693147180559945,0,0,3.29583686600433,1.38629436111989,3.40119738166216,0,0,0,0,0,0,0
"11",2.83321334405622,0,6.87419849545329,1.6094379124341,0,1.94591014905531,0,2.63905732961526,3.36729582998647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12",3.61091791264422,0,0,4.60517018598809,0,3.17805383034795,0,1.38629436111989,0,0,0,0,0,0.693147180559945,0,0,1.6094379124341,0.693147180559945,0,3.04452243772342,0,4.00733318523247,0,0
"13",0,0,0,4.02535169073515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30258509299405,0,0,0,0
"14",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,1.09861228866811,0,6.3261494731551,2.30258509299405,5.02388052084628,0,0,0,1.38629436111989,0,0,0,1.6094379124341,0,0,0,0,0,1.38629436111989,0,0,0
"16",0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",5.19849703126583,0,4.26267987704132,6.38687931936265,3.76120011569356,3.85014760171006,2.63905732961526,4.9416424226093,0,5.65948221575962,0,0,5.13579843705026,8.61540823891319,6.33327962813969,0,0,0.693147180559945,5.28826703069454,6.20050917404269,0,5.24702407216049,4.61512051684126,3
"18",0,0,0,4.07753744390572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0
"19",0,3.8286413964891,1.94591014905531,0,0,3.43398720448515,0,0,1.6094379124341,0,0,0,5.97126183979046,0,1.09861228866811,0,2.63905732961526,0,3.2188758248682,4.69134788222914,5.11799381241676,3.52636052461616,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,4.23410650459726,0,0,0,0,4.00733318523247,0,0,0
"21",0,0,0,0,0,2.56494935746154,0,0,0,0,0,0,0,5.91079664404053,0,0,0,0,0.693147180559945,0,0,0,0,1
"22",0,2.07944154167984,0,4.0943445622221,0,0,3.29583686600433,0,1.79175946922805,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,1.09861228866811,0,0,0,0,0,0,4.24849524204936,4.65396035015752,3.40119738166216,0,0,0,0,1.79175946922805,4.11087386417331,6.45676965557216,0,0,0
