"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","bug"
"1",0,0,4.21950770517611,0,0,0,0,0,0,0,0,1.09861228866811,1.94591014905531,2.99573227355399,0
"2",0,0,0,0,0,3.66356164612965,0,0,1.38629436111989,0,0,0,0,6.12686918411419,0
"3",4.67282883446191,0,0,0,0,4.54329478227,0,0,0,4.57471097850338,0,0,0,0,1
"4",0,0,0,0.693147180559945,3.3322045101752,0,0,1.79175946922805,0,0,0,0.693147180559945,3.40119738166216,0,0
"5",0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0
"6",0,0,3.87120101090789,0.693147180559945,0,0,0,0,0,1.38629436111989,0,0,0,0,0
"7",1.38629436111989,1.09861228866811,1.09861228866811,0,6.43615036836943,3.36729582998647,1.79175946922805,0,0,3.17805383034795,0,0,0,0,0
"8",1.38629436111989,0,0,0,0,0,3.66356164612965,0,0,0,0,0,0,0,0
"9",1.09861228866811,0,3.13549421592915,0,0,0,3.46573590279973,0,0,2.77258872223978,0,0,0,0,1
"10",1.6094379124341,0,0,0,0,0,4.17438726989564,3.73766961828337,0,0,0,0,0,0,0
"11",4.64439089914137,2.56494935746154,0,0,5.0998664278242,6.62671774924902,0,0,0,0,0,0.693147180559945,0,0,1
"12",4.02535169073515,1.79175946922805,0,0,3.78418963391826,0,1.09861228866811,0,0,2.07944154167984,0,4.85203026391962,0,1.09861228866811,0
"13",0,0,4.04305126783455,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1.94591014905531,0,0
"14",0,1.09861228866811,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0
"15",0,0,1.79175946922805,6.5510803350434,0,0.693147180559945,0,0,3.13549421592915,0,0,0.693147180559945,1.09861228866811,0,0
"16",0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0
"17",0,4.74493212836325,3.93182563272433,4.29045944114839,5.26269018890489,2.70805020110221,0,4.06044301054642,7.88532923927319,0.693147180559945,0,8.47010158388239,6.11809719804135,5.37527840768417,3
"18",0,0,4.17438726989564,0,0,0,0,0,0,0,0,0.693147180559945,1.38629436111989,0,0
