"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","bug"
"1",0,0,3.93182563272433,0,0,0,0,0,0.693147180559945,0,2.63905732961526,0,0.693147180559945,0,3.40119738166216,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,6.12686918411419,0,0,0,0,0,3.73766961828337,0
"3",1.38629436111989,3.97029191355212,0.693147180559945,0,0,4.04305126783455,3.93182563272433,0,0,0,0,4.89783979995091,0,0,0,0,0,1
"4",0,0,0,0,0.693147180559945,2.83321334405622,0,0,0,3.80666248977032,0,0,0.693147180559945,0.693147180559945,0,0,0,0
"5",0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,3.78418963391826,0,0,0.693147180559945,0,0,0,0,0,2.07944154167984,0,0,0,0,0,0
"7",0.693147180559945,0,2.77258872223978,0,0,6.36818718635049,1.09861228866811,1.6094379124341,0,1.09861228866811,0,2.83321334405622,0,0,2.99573227355399,2.56494935746154,3.52636052461616,0
"8",0,1.6094379124341,0,0,0,0,0,1.09861228866811,3.46573590279973,1.6094379124341,0,0,0,0,0,0,0,0
"9",0,0,3.76120011569356,0,0,0,2.83321334405622,2.484906649788,0,0,0,0,0,0.693147180559945,0,0,0,1
"10",2.99573227355399,0.693147180559945,0,0,1.79175946922805,1.09861228866811,0,0,4.06044301054642,3.2188758248682,0,0.693147180559945,0,0,0,0,0,0
"11",2.484906649788,0,0,0,0,6.86066367144829,2.30258509299405,0,0,0,0,4.07753744390572,0.693147180559945,0.693147180559945,0,0,0,1
"12",4.44265125649032,3.73766961828337,2.99573227355399,1.09861228866811,0,3.13549421592915,0,0,0,0,0,2.77258872223978,0,3.8286413964891,0,0,2.63905732961526,0
"13",0,0,3.36729582998647,0,0,0,0,0,0,0,0,0,0,0,3.61091791264422,0,0,0
"14",0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0
"15",1.6094379124341,1.38629436111989,0,3.09104245335832,6.52356230614951,0.693147180559945,0,2.99573227355399,0,1.09861228866811,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0
