"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","bug"
"1",0,0,0,0,0,0,0,0,2.89037175789616,3.78418963391826,0,2.89037175789616,2.89037175789616,0
"2",0,0,0,0,0,1.6094379124341,0,0.693147180559945,0,0,0,0,6.20253551718792,0
"3",0,0,0,0,5.08140436498446,4.36944785246702,0,0,3.89182029811063,2.30258509299405,0,0,0,1
"4",0,0,0,0.693147180559945,0,2.94443897916644,1.38629436111989,0,0,0.693147180559945,0,3.71357206670431,0,0
"5",1.09861228866811,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,3.52636052461616,2.94443897916644,0,0,0,0
"7",2.70805020110221,3.04452243772342,0,0,3.2188758248682,6.4118182677099,0,0,0.693147180559945,2.39789527279837,2.30258509299405,0,0,0
"8",0,3.46573590279973,0,1.09861228866811,0,0.693147180559945,1.6094379124341,0,0,0,1.38629436111989,0,0,0
"9",0,3.40119738166216,0,0,1.09861228866811,0,0,0,2.07944154167984,3.46573590279973,0.693147180559945,0,0,1
"10",0,4.0943445622221,0,0,1.09861228866811,0,3.80666248977032,0,0,1.6094379124341,0,0,0,0
"11",0,0,0,0,4.40671924726425,6.8596149036542,0,0,0,0,0,0,0,1
"12",5.23644196282995,1.94591014905531,0,0,0,3.55534806148941,0,0,0,1.6094379124341,0,0,2.39789527279837,0
"13",0.693147180559945,0,0,0,0,0,0,0,0,3.66356164612965,2.83321334405622,2.30258509299405,0,0
"14",1.09861228866811,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0
"15",0,0.693147180559945,0.693147180559945,6.55393340402581,0,0,0,1.38629436111989,0,0,3.13549421592915,1.09861228866811,0,0
"16",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,5.08759633523238,4.33073334028633,2.484906649788,5.4249500174814,0,8.88654741251204,0,1.38629436111989,6.14846829591765,5.82894561761021,4.38202663467388,3
"18",0,0,0,0,0,0,0,0,2.63905732961526,3.29583686600433,3.25809653802148,1.6094379124341,0,0
"19",0.693147180559945,0,1.6094379124341,0,0,4.06044301054642,4.27666611901606,3.58351893845611,0.693147180559945,0,0,6.4831073514572,0,0
"20",0,0,0,0,0,2.83321334405622,0,0,0,4.68213122712422,0,0,0,0
"21",3.17805383034795,3.09104245335832,0,0,0,0,0,0,0,0.693147180559945,5.82008293035236,0,0,1
"22",0,0,0.693147180559945,1.38629436111989,0,0,0,0,3.36729582998647,3.66356164612965,3.46573590279973,0,0,0
