"","V1","V2","V3","V4","V5","V6","V7","V8","bug","loc","bf","hcm"
"1",0,4.18965474202643,2.70805020110221,0,0,0,2.77258872223978,0,0,2.77258872223978,1,1.11258
"2",0,0,0,3.97029191355212,6.07993319509559,0,2.39789527279837,0,0,6.20050917404269,5,7.60794
"3",5.24702407216049,0,3.43398720448515,4.34380542185368,0,0,0,0,1,2.484906649788,3,6.44925
"4",0,0.693147180559945,3.95124371858143,2.07944154167984,0,1.38629436111989,0.693147180559945,0,0,1.6094379124341,0,3.0823
"5",0,0,0.693147180559945,1.09861228866811,0,0,0,0,0,0,1,0
"6",0,3.95124371858143,0,0,0,0,0,0,0,1.94591014905531,1,0
"7",1.79175946922805,0.693147180559945,4.04305126783455,6.35437004079735,0,0,0,3.93182563272433,0,5.03695260241363,7,9.01949
"8",0,0,0,0,0,3.73766961828337,0,0,0,2.19722457733622,1,5.09157
"9",1.09861228866811,0,3.17805383034795,1.09861228866811,0,2.89037175789616,0,3.29583686600433,1,2.63905732961526,6,5.94951
"10",0,0,0.693147180559945,0,0.693147180559945,4.57471097850338,1.94591014905531,1.79175946922805,0,3.09104245335832,2,5.76365
"11",4.39444915467244,0,2.19722457733622,6.85118492749374,0,0,0,0.693147180559945,1,4.35670882668959,3,6.44925
"12",4.70048036579242,0,0,3.04452243772342,1.38629436111989,0,4.69134788222914,0.693147180559945,0,3.2188758248682,1,1.27192
"13",0,4.00733318523247,2.07944154167984,0,0,0,1.38629436111989,0,0,2.19722457733622,1,0
"14",0,0,0,1.38629436111989,0,0,0,0,0,0,1,0
"15",1.09861228866811,6.53813982376767,1.6094379124341,0,0,0,3.04452243772342,2.70805020110221,0,0,4,4.84372
"16",0,0,0,1.38629436111989,0,0,0,0,0,0,1,0
"17",0,5.13579843705026,4.15888308335967,6.22059017009974,6.1463292576689,3.52636052461616,8.90259163737409,2.484906649788,3,7.49886973397693,29,15.3228
"18",0,3.78418963391826,1.94591014905531,0,0,0,2.99573227355399,0,0,2.30258509299405,1,0
"19",2.484906649788,0,5.44673737166631,4.969813299576,5.40717177146012,2.94443897916644,5.27811465923052,1.09861228866811,0,4.79579054559674,4,7.7601
"20",0,4.20469261939097,3.78418963391826,2.70805020110221,0,0,0,0,0,2.77258872223978,1,3.36934
"21",0,1.79175946922805,0,0,5.04342511691925,0,5.3890717298165,1.6094379124341,1,0,1,1.05668
"22",0,4.07753744390572,2.484906649788,0,0,0,3.09104245335832,2.484906649788,0,3.43398720448515,1,0
"23",3.91202300542815,1.79175946922805,5.77455154554441,1.38629436111989,3.46573590279973,0,5.10594547390058,5.80814248998044,0,5.01063529409626,2,6.79581
"24",1.09861228866811,0.693147180559945,2.07944154167984,0,4.06044301054642,2.77258872223978,4.04305126783455,0,0,3.49650756146648,2,4.04276
"25",1.09861228866811,0,0,3.49650756146648,0,0,0,1.38629436111989,0,0,1,4.64163
"26",0,0,4.15888308335967,5.15329159449778,6.4377516497364,0,3.29583686600433,0,1,4.74493212836325,6,6.45548
"27",0,0,0,3.3322045101752,0,4.98360662170834,3.43398720448515,4.62497281328427,1,4.43081679884331,3,4.27148
"28",0,0,0,3.93182563272433,0,4.07753744390572,1.38629436111989,4.85981240436167,2,4.18965474202643,1,0
"29",0,3.09104245335832,0,0,0.693147180559945,0,2.94443897916644,2.83321334405622,0,1.6094379124341,1,1.45568
"30",0,0,2.63905732961526,0,0,1.38629436111989,5.62401750618734,0,0,4.30406509320417,3,5.03827
