"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","bug","loc","bf","hcm"
"1",0,0,0,0,0,3.09104245335832,0,0,0,0,0,0,0,0,0,2.19722457733622,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15888308335967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77258872223978,1,1.11258
"2",0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,3.25809653802148,0,0,0,0,6.14203740558736,0,0,0,0,0,1.94591014905531,0,0,6.20050917404269,5,7.60794
"3",0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,2.484906649788,0,0,0,0,0,0,0,3.3322045101752,3.98898404656427,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,2.99573227355399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20948615284142,1,2.484906649788,3,6.44925
"4",3.13549421592915,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99573227355399,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,2.89037175789616,0,0,0.693147180559945,0,0,1.6094379124341,0,3.0823
"5",0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95124371858143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,1,0
"7",6.2841341610708,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,2.484906649788,0,0,0,4.78749174278205,1.38629436111989,0.693147180559945,0,0,0,0,0,0,0,1.09861228866811,1.38629436111989,0,0,0,0,2.30258509299405,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,5.03695260241363,7,9.01949
"8",0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36729582998647,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0,0,0,2.19722457733622,1,5.09157
"9",0,0,0.693147180559945,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,1.09861228866811,0,0,0,0,0,2.30258509299405,0,0,0,0,0,0,0,3.17805383034795,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,3.40119738166216,0,0,1,2.63905732961526,6,5.94951
"10",0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,1.09861228866811,2.56494935746154,0,0,0,0,0,0,0,0,0,0,0,0,4.47733681447821,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,3.09104245335832,2,5.76365
