"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","bug"
"1",0,0,2.30258509299405,0,0,0,0,0,0,0,0,0,2.70805020110221,2.07944154167984,0.693147180559945,3.49650756146648,0,0,3.46573590279973,0
"2",0,0,2.99573227355399,0,0.693147180559945,6.05208916892442,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,3.95124371858143,0
"3",0,2.70805020110221,0,0,0,0,2.70805020110221,4.0943445622221,0,0,0,0,5.33753807970132,0,0,0.693147180559945,0,0,0,1
"4",0.693147180559945,0,0,2.70805020110221,0,0,3.80666248977032,0,0,1.38629436111989,0,0,0,0,0.693147180559945,0,0,0,0,0
"5",1.09861228866811,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,3.95124371858143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",4.27666611901606,0,3.55534806148941,2.19722457733622,0,0,6.33505425149806,1.38629436111989,0,1.79175946922805,0,0,0,1.09861228866811,0,0,0,0,0,0
"8",1.6094379124341,0,0,0,0,0,0,0,2.56494935746154,0,0,0,0,3.2188758248682,0.693147180559945,0,0,0,0,0
"9",0,2.39789527279837,0,0,0,0,0,0,2.30258509299405,0,0,0,1.94591014905531,3.80666248977032,0,0,0,0,0.693147180559945,1
"10",0,0,0,3.29583686600433,0,0,1.38629436111989,0,4.36944785246702,0,0,0,1.09861228866811,0,0,0,0,0,0,0
"11",1.09861228866811,0,6.83087423464618,0,0,0,0,2.83321334405622,0,0,0,0,4.51085950651685,0,0,0,0,0,0,1
"12",5.28320372873799,0,0,0,0,2.39789527279837,3.09104245335832,0,0,0,0,0,0,2.484906649788,0,0,0,1.38629436111989,0,0
"13",0,0,0,4.12713438504509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0
"14",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,1.09861228866811,0,6.5191472879404,0,0.693147180559945,1.38629436111989,2.484906649788,0,0,2.63905732961526,0,0,0,3.04452243772342,1.38629436111989,0,0,0
"16",0.693147180559945,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",3.78418963391826,2.30258509299405,5.41610040220442,0,4.33073334028633,0,1.09861228866811,4.91265488573605,0,0,8.55236726642389,7.08086789669078,0,0,6.76272950693188,5.7268477475872,4.90527477843843,6.07993319509559,0,3
"18",0,0,0,4.23410650459726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2.56494935746154,0,0,5.50125821054473,0,0,4.36944785246702,0,0,4.07753744390572,3.61091791264422,2.30258509299405,0,2.70805020110221,0,3.55534806148941,5.82304589548302,0,0,0
"20",0,3.49650756146648,0,0,0,0,0,0,0,0,0,0,3.13549421592915,4.24849524204936,0,0,0,0,0,0
"21",0,0,0,0,0,1.09861228866811,0,0,0,3.04452243772342,0,5.88610403145016,0,0,0,0,0,0,0,1
"22",0.693147180559945,1.94591014905531,1.38629436111989,3.3322045101752,2.89037175789616,0,0,0,0,0,0,0,2.77258872223978,0,3.3322045101752,0,0,1.79175946922805,0,0
"23",0,0,0,4.52178857704904,0,2.30258509299405,0,0,0,0,0,4.56434819146784,0,2.70805020110221,4.30406509320417,2.07944154167984,6.40191719672719,2.70805020110221,0,0
"24",0,0,1.6094379124341,0.693147180559945,0,4.38202663467388,0,0,0,0,3.58351893845611,1.09861228866811,0,0,0,2.07944154167984,0,0,2.39789527279837,0
"25",2.39789527279837,0,3.25809653802148,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0
"26",0,2.70805020110221,3.52636052461616,0,0,0,0,4.58496747867057,1.38629436111989,2.30258509299405,0,6.48920493132532,0,0,0,0,0,4.29045944114839,0,1
"27",0,2.19722457733622,0,0.693147180559945,0,0,0,0,3.29583686600433,0,1.94591014905531,0,1.09861228866811,0,0,0,5.56452040732269,0,0,1
"28",1.09861228866811,0,0,0,0,0,0,4.30406509320417,5.06259503302697,0,0,0,0,0,0,0,0,2.07944154167984,0,2
"29",0,0,0,2.83321334405622,1.38629436111989,0,0,0,0,0,0,0,0,2.94443897916644,1.09861228866811,0,0,0,2.89037175789616,0
"30",0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,2.30258509299405,3.68887945411394,0,0,0,5.48893772615669,0
"31",0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0
"33",0,0,0,0,0,0.693147180559945,0,0,0,4.83628190695148,1.09861228866811,0,0,0,0,0,0,0,0,0
"34",0,0,0,3.61091791264422,0,0,0,0,0,0,0,0,2.39789527279837,1.94591014905531,0,0,0,0,0,0
"35",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04452243772342,0,0,0,0
"37",0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0
"38",0,0,0,2.484906649788,0,0,0,0,4.26267987704132,0,0,0,1.09861228866811,0,0,0.693147180559945,0,0,0,0
"39",0,0,2.19722457733622,0,0,0,0,0,7.37086016653672,2.30258509299405,1.09861228866811,0,0,4.38202663467388,2.89037175789616,0,0,1.79175946922805,5.82008293035236,0
"40",3.29583686600433,5.18738580584075,0,0,4.54329478227,0,4.9416424226093,4.21950770517611,0,0,0.693147180559945,1.09861228866811,6.21260609575152,7.40610338123702,0,0,1.94591014905531,0,4.14313472639153,4
"41",2.77258872223978,0,0,0,0,0,0.693147180559945,0,0,0,0,4.969813299576,5.06890420222023,2.19722457733622,5.6937321388027,2.83321334405622,2.39789527279837,0,1.38629436111989,0
"42",3.97029191355212,0,0.693147180559945,2.94443897916644,0.693147180559945,0,0,4.04305126783455,0,0.693147180559945,0.693147180559945,0,0,4.45434729625351,3.91202300542815,3.61091791264422,0,0,0,1
"43",0,3.52636052461616,2.77258872223978,0,0,0,0,0,7.22620901010067,1.09861228866811,3.49650756146648,0,0,3.97029191355212,0,0,3.61091791264422,0,2.39789527279837,3
"44",0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,1.09861228866811,0,0,0,0,4.77912349311153,0
