"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","bug"
"1",0,2.19722457733622,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,4.35670882668959,0,2.07944154167984,0
"2",0,2.39789527279837,0,0,0,4.80402104473326,0.693147180559945,0,0,0,0,0,0,0,0,0,0,5.90536184805457,0
"3",1.79175946922805,0,0,0,0,0,5.31811999384422,4.45434729625351,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,1
"4",0,0,0,0.693147180559945,0,1.09861228866811,0,0,0,2.83321334405622,0,0,3.78418963391826,0,0.693147180559945,0,0,0,0
"5",0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95124371858143,0,0,0
"7",0,2.07944154167984,0,0,0,2.99573227355399,0,2.19722457733622,0,0,0,0,6.47697236288968,1.38629436111989,0,0,0,0,0
"8",0,0,2.07944154167984,0,0,0,1.38629436111989,0,3.04452243772342,0,0,0,2.484906649788,0,0,0,0,0,0
"9",1.38629436111989,0,3.87120101090789,0,0,0,2.30258509299405,0,0,0,0,0,0,2.484906649788,0,0,0,0,1
"10",4.02535169073515,0,3.29583686600433,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0,3.29583686600433,0,0,0,0,0,0
"11",0,0,0.693147180559945,0,0,6.84587987526405,4.53259949315326,0,0.693147180559945,0,0,0,0,0,0,0,0,0,1
"12",3.46573590279973,4.80402104473326,1.38629436111989,0,0,0.693147180559945,0,0,0,0.693147180559945,3.63758615972639,0,3.87120101090789,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17438726989564,0,0,0
"14",0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0.693147180559945,6.19644412779452,5.46806014113513,0,0,0,0,0,0.693147180559945,0,0,0,0,1.09861228866811,0,0,0
"16",0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,5.28320372873799,0,4.17438726989564,4.85203026391962,5.4510384535657,0.693147180559945,0,0,0,8.6346206082922,4.27666611901606,0,6.57228254269401,5.19849703126583,4.53259949315326,7.07834157955767,4.70953020131233,3
"18",0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20469261939097,0,0,0
"19",1.6094379124341,3.29583686600433,0,0,0,0,3.85014760171006,0,0,5.73009978297357,0,0,4.23410650459726,0,3.40119738166216,5.80513496891649,2.484906649788,0,0
"20",0,0,0,4.00733318523247,0,0,0,3.29583686600433,0,0,0,0,3.78418963391826,0,0,0,0,0,0
"21",0,0,0,0,1.09861228866811,0,0,0,0,0,5.91079664404053,0,0,0,0,0,2.484906649788,0,1
"22",0,3.76120011569356,0,1.09861228866811,0,0,0,0,0,0,0,0,0,3.09104245335832,0,3.61091791264422,0,0,0
"23",0,5.19849703126583,0,0,2.83321334405622,1.38629436111989,0.693147180559945,0,0,4.38202663467388,3.58351893845611,0,1.94591014905531,4.18965474202643,0.693147180559945,6.25382881157547,0,0,0
"24",0,0,0,0,0,0,0,0,0,2.19722457733622,1.38629436111989,0,0,0,3.2188758248682,2.94443897916644,0,4.45434729625351,0
"25",0,0.693147180559945,0,0,0,1.79175946922805,0,0,0,0.693147180559945,0,0,3.43398720448515,0,0,0,0,0,0
"26",0,0,0,0.693147180559945,4.83628190695148,0,0,2.19722457733622,0,0,3.49650756146648,6.361302477573,0,0,0,0.693147180559945,4.94875989037817,0,1
"27",0,0,1.79175946922805,0,0,0,0,0,0.693147180559945,0,0,0,0,2.07944154167984,0,5.06890420222023,4.89034912822175,0,1
"28",5.01063529409626,0,3.93182563272433,0,0,0,0,0,3.71357206670431,0,0,0,0,0,0,0,0,0,2
"29",0,0,1.94591014905531,2.56494935746154,0,0,0,0,0,0,1.09861228866811,0,0.693147180559945,0,0,2.56494935746154,0,3.17805383034795,0
"30",0,1.6094379124341,0,2.30258509299405,0,0,0,1.09861228866811,0,0,0,0,0,3.58351893845611,0,0,1.6094379124341,5.47646355193151,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0
"32",0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1.79175946922805,0,0,0
"33",0,0,0,0,0,0,0,0,1.09861228866811,3.3322045101752,0,1.6094379124341,0,4.56434819146784,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97029191355212,0,0,0
"35",0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04452243772342,0,0,0
"37",0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0
