"","V1","V2","V3","bug","loc","bf","hcm"
"1",5.20948615284142,0.693147180559945,5.8406416573734,1,5.14166355650266,3,10.4552
"2",2.19722457733622,1.79175946922805,8.37516869138682,2,6.72142570079064,42,13.9297
"3",0,0,6.77536609093639,0,4.93447393313069,9,9.3931
"4",5.15329159449778,0,3.29583686600433,0,3.71357206670431,2,2.46341
"5",2.89037175789616,0,4.43081679884331,0,2.99573227355399,0,0
"6",7.78779687818117,0.693147180559945,5.89440283426485,0,5.48479693349065,13,16.4641
"7",2.39789527279837,0,4.91998092582813,0,1.6094379124341,1,4.24084
"8",0,6.38856140554563,0,0,5.84643877505772,1,1.35264
"9",2.484906649788,0,6.49526555593701,1,3.80666248977032,4,6.60956
"10",3.87120101090789,0,6.76849321164863,0,5.20948615284142,4,5.34192
"11",6.02586597382531,6.08221891037645,5.59842195899838,0,5.20948615284142,6,7.7902
"12",0,1.38629436111989,4.90527477843843,0,2.63905732961526,1,1.17486
"13",4.91265488573605,0,0,0,1.94591014905531,0,0
"14",0,0,4.81218435537242,0,3.04452243772342,2,5.50819
"15",3.71357206670431,0,5.4380793089232,0,3.71357206670431,0,0
"16",0,1.94591014905531,6.16120732169508,0,4.12713438504509,5,11.5269
"17",5.11799381241676,0,4.07753744390572,0,4.00733318523247,0,0
"18",2.484906649788,0,5.87211778947542,1,4.34380542185368,1,0.871061
"19",4.17438726989564,4.88280192258637,0,0,3.68887945411394,1,3.28866
"20",4.75359019110636,2.77258872223978,1.6094379124341,0,2.70805020110221,2,4.2341
"21",3.09104245335832,0,6.07073772800249,0,4.68213122712422,2,2.6029
"22",5.12396397940326,3.04452243772342,4.52178857704904,0,3.80666248977032,1,7.75655
"23",5.28826703069454,0.693147180559945,0,1,4.02535169073515,3,5.46076
"24",1.09861228866811,3.76120011569356,3.17805383034795,0,2.07944154167984,2,4.08464
"25",5.50125821054473,3.13549421592915,2.484906649788,0,4.30406509320417,1,3.9126
"26",3.63758615972639,0,0,0,1.38629436111989,0,2.42975
"27",2.63905732961526,0,6.3456363608286,1,4.17438726989564,11,11.9647
"28",5.26269018890489,0,0.693147180559945,0,3.55534806148941,1,2.24283
"29",5.40267738187228,0,0,0,4.04305126783455,1,7.59491
"30",4.29045944114839,0,6.08449941307517,3,4.87519732320115,2,2.2048
"31",4.95582705760126,0,0,0,2.99573227355399,2,4.01034
"32",0,0,3.55534806148941,0,2.30258509299405,1,1.35264
"33",0,0,6.28599809450886,0,4.97673374242057,4,8.83948
"34",4.24849524204936,4.71849887129509,2.56494935746154,0,3.68887945411394,1,3.28866
"35",0,0,4.07753744390572,0,0,1,0.792859
"36",5.14166355650266,0,1.38629436111989,0,3.58351893845611,1,4.04759
"37",6.46302945692067,0,3.25809653802148,0,4.47733681447821,1,7.67536
