"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","bug","loc","bf","hcm"
"1",0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,4.91265488573605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95583736946483,0,0,0,0,1.09861228866811,0,1,5.14166355650266,3,10.4552
"2",0,1.79175946922805,1.38629436111989,2.77258872223978,0,0,3.63758615972639,4.26267987704132,0,0,0,7.24992553671799,2.63905732961526,0,0,0,0,0,0,0,2.56494935746154,0,0,1.09861228866811,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1.09861228866811,0,0,0,0,0,5.5834963087817,0,0,0,0,0,0,0,1.38629436111989,0,0,6.48004456192665,7.47250074473756,0.693147180559945,0,4.64439089914137,0,0,0,0,2,6.72142570079064,42,13.9297
"3",0,0,0,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,1.6094379124341,0,0,0,0,0,0,0.693147180559945,4.06044301054642,0,0,0,0.693147180559945,4.39444915467244,2.94443897916644,0,0,0,0,0,0,0,0,0,0,0,3.36729582998647,0,0.693147180559945,0,4.27666611901606,0,1.6094379124341,0,0,0,4.969813299576,0,0,6.13772705408623,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,4.93447393313069,9,9.3931
"4",0,0,4.02535169073515,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,3.25809653802148,0.693147180559945,0,0.693147180559945,2.56494935746154,0.693147180559945,0.693147180559945,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0.693147180559945,0,0,0,0,2.63905732961526,3.43398720448515,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,1.94591014905531,3.66356164612965,0,0,0.693147180559945,2.19722457733622,0,0,0,3.71357206670431,2,2.46341
"5",0,2.89037175789616,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,3.66356164612965,0,0,0,0,1.94591014905531,0,0,1.09861228866811,0,0,0,0,1.94591014905531,0,0,1.09861228866811,0,0,0,0,2.94443897916644,0,0.693147180559945,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1.38629436111989,0,0.693147180559945,0,0,2.99573227355399,0,0
"6",0,0,0,0,2.89037175789616,1.6094379124341,0.693147180559945,0,0,0,0,0,0,0,0,6.00141487796115,0,0,0,1.94591014905531,0,0,0,0,0.693147180559945,0,2.56494935746154,2.39789527279837,0,0,0,0,2.56494935746154,0,0,0,0,0,0,2.89037175789616,7.67925142595306,3.46573590279973,0,0,0,0,0,0,4.02535169073515,1.09861228866811,1.09861228866811,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,3.61091791264422,0,0,0,5.48479693349065,13,16.4641
"7",0,2.56494935746154,0,0,0,0,0,0,0,0,0,0,0,3.66356164612965,0,0.693147180559945,0,0,0,0,0,3.04452243772342,0,0,0,3.55534806148941,2.07944154167984,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,3.09104245335832,0,0,0,0,0,0,0,2.30258509299405,1.09861228866811,0,0,0,0,1.6094379124341,1,4.24084
"8",0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,0,6.361302477573,0.693147180559945,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,5.84643877505772,1,1.35264
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,3.49650756146648,0,1.38629436111989,0,0,0,0,0,0,0,0,0,5.84643877505772,0,0,0,0,0,0,4.61512051684126,0.693147180559945,0,0,3.43398720448515,0,0,4.23410650459726,0,0,0,0,0,0,0,0,0,4.53259949315326,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1,3.80666248977032,4,6.60956
"10",0,0,0,0,0,0,0,2.77258872223978,0,0,0,0,0,0,0,0,0,4.7361984483945,0,0,0.693147180559945,2.19722457733622,0,1.09861228866811,0,0,4.29045944114839,4.76217393479776,0,6.1463292576689,0,0,1.09861228866811,0,0,0,0.693147180559945,0,0,2.63905732961526,2.89037175789616,0,0,4.21950770517611,0,0,0,0,0,0,0,0,2.56494935746154,0,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,5.20948615284142,4,5.34192
"11",0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11087386417331,3.43398720448515,0,0,0,3.04452243772342,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,3.40119738166216,0.693147180559945,0,0.693147180559945,6.47697236288968,0,1.79175946922805,0,0,0,0,0,1.38629436111989,0,0,0,0,5.76832099579377,0,0,0,0,0,0,0,0,0,5.20948615284142,6,7.7902
