"","V1","V2","bug","loc","bf","hcm"
"1",0,6.26720054854136,1,5.14166355650266,3,10.4552
"2",2.99573227355399,8.37378460812088,2,6.72142570079064,42,13.9297
"3",0,6.77536609093639,0,4.93447393313069,9,9.3931
"4",4.11087386417331,4.93447393313069,0,3.71357206670431,2,2.46341
"5",0,4.61512051684126,0,2.99573227355399,0,0
"6",5.96614673912369,7.77695440332244,0,5.48479693349065,13,16.4641
"7",0,4.99043258677874,0,1.6094379124341,1,4.24084
"8",6.38856140554563,0,0,5.84643877505772,1,1.35264
"9",0,6.51174532964473,1,3.80666248977032,4,6.60956
"10",0,6.82110747225646,0,5.20948615284142,4,5.34192
"11",6.21860011969173,6.4281052726846,0,5.20948615284142,6,7.7902
"12",0,4.92725368515721,0,2.63905732961526,1,1.17486
"13",4.53259949315326,3.78418963391826,0,1.94591014905531,0,0
"14",0,4.81218435537242,0,3.04452243772342,2,5.50819
"15",0.693147180559945,5.59471137960184,0,3.71357206670431,0,0
"16",2.19722457733622,6.15697898558556,0,4.12713438504509,5,11.5269
"17",4.57471097850338,4.85981240436167,0,4.00733318523247,0,0
"18",0,5.90263333340137,1,4.34380542185368,1,0.871061
"19",5.08759633523238,3.55534806148941,0,3.68887945411394,1,3.28866
"20",4.40671924726425,3.98898404656427,0,2.70805020110221,2,4.2341
"21",0,6.11809719804135,0,4.68213122712422,2,2.6029
"22",4.67282883446191,5.15329159449778,0,3.80666248977032,1,7.75655
"23",4.78749174278205,4.38202663467388,1,4.02535169073515,3,5.46076
"24",3.52636052461616,3.55534806148941,0,2.07944154167984,2,4.08464
"25",3.73766961828337,5.46806014113513,0,4.30406509320417,1,3.9126
"26",0,3.63758615972639,0,1.38629436111989,0,2.42975
"27",0,6.36818718635049,1,4.17438726989564,11,11.9647
"28",0,5.26785815906333,0,3.55534806148941,1,2.24283
"29",0,5.40267738187228,0,4.04305126783455,1,7.59491
"30",3.46573590279973,6.17378610390194,3,4.87519732320115,2,2.2048
"31",4.17438726989564,4.35670882668959,0,2.99573227355399,2,4.01034
"32",0,3.55534806148941,0,2.30258509299405,1,1.35264
"33",0,6.28599809450886,0,4.97673374242057,4,8.83948
"34",4.91998092582813,4.04305126783455,0,3.68887945411394,1,3.28866
"35",0,4.07753744390572,0,0,1,0.792859
"36",4.07753744390572,4.75359019110636,0,3.58351893845611,1,4.04759
"37",0,6.50128967054039,0,4.47733681447821,1,7.67536
"38",1.79175946922805,3.3322045101752,0,1.38629436111989,1,1.18716
