"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","bug","loc","bf","hcm"
"1",2.63905732961526,0,0,0,0,4.30406509320417,0.693147180559945,4.83628190695148,0,5.75257263882563,1,5.14166355650266,3,10.4552
"2",2.94443897916644,0,0.693147180559945,0,0,0,4.93447393313069,1.6094379124341,8.26333266743997,5.74300318780948,2,6.72142570079064,42,13.9297
"3",0,0,6.38012253689976,0,5.50125821054473,1.09861228866811,0,3.29583686600433,0.693147180559945,2.63905732961526,0,4.93447393313069,9,9.3931
"4",4.67282883446191,0,3.09104245335832,0,0,4.02535169073515,0,0,1.79175946922805,2.484906649788,0,3.71357206670431,2,2.46341
"5",2.19722457733622,0,3.29583686600433,0,2.70805020110221,0,3.97029191355212,0,0,0,0,2.99573227355399,0,0
"6",7.48380668766583,4.70953020131233,3.93182563272433,0,5.48893772615669,0,0,4.80402104473326,0,6.16120732169508,0,5.48479693349065,13,16.4641
"7",0,0,4.24849524204936,0,4.17438726989564,0,0,2.63905732961526,0,0,0,1.6094379124341,1,4.24084
"8",0,0,0,6.38687931936265,0,0,0.693147180559945,0,0,0,0,5.84643877505772,1,1.35264
"9",2.89037175789616,0,5.56452040732269,0,5.97126183979046,0,0,1.6094379124341,0,0,1,3.80666248977032,4,6.60956
"10",3.43398720448515,0,6.72982407048948,0,3.04452243772342,0,0,0,2.39789527279837,3.04452243772342,0,5.20948615284142,4,5.34192
"11",6.74641212857337,0,2.07944154167984,3.13549421592915,3.09104245335832,0,5.37527840768417,0,0,1.6094379124341,0,5.20948615284142,6,7.7902
"12",0,0,4.69134788222914,0,2.19722457733622,0,3.09104245335832,0,0,0,0,2.63905732961526,1,1.17486
"13",0,1.38629436111989,3.17805383034795,0,0.693147180559945,0.693147180559945,0,4.67282883446191,0.693147180559945,0,0,1.94591014905531,0,0
"14",0,0,2.30258509299405,0,3.49650756146648,0.693147180559945,0,0,0,4.39444915467244,0,3.04452243772342,2,5.50819
"15",0,0.693147180559945,5.03043792139244,0,0,0,2.94443897916644,0,0,4.59511985013459,0,3.71357206670431,0,0
"16",0,0,0,0,3.17805383034795,0,3.29583686600433,3.52636052461616,0,5.98645200528444,0,4.12713438504509,5,11.5269
"17",4.63472898822964,4.26267987704132,3.49650756146648,0,0,0,0,2.70805020110221,1.94591014905531,0,0,4.00733318523247,0,0
"18",0,3.46573590279973,0,0,0,0,1.6094379124341,0,5.67332326717149,3.71357206670431,1,4.34380542185368,1,0.871061
"19",3.43398720448515,0,0,1.79175946922805,3.63758615972639,0,4.81218435537242,0,0,0.693147180559945,0,3.68887945411394,1,3.28866
"20",0,3.52636052461616,0,0,0,3.13549421592915,2.19722457733622,4.26267987704132,0.693147180559945,0,0,2.70805020110221,2,4.2341
"21",0,2.484906649788,0,0,2.63905732961526,2.484906649788,0,0,2.99573227355399,5.99146454710798,0,4.68213122712422,2,2.6029
