"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","bug","loc","bf","hcm"
"1",0,0,0,0.693147180559945,0,0,2.83321334405622,0,0,0,0,0,0,0,0,2.63905732961526,0,5.93753620508243,0,0,1.6094379124341,0,0,3.13549421592915,2.94443897916644,0,0,4.31748811353631,0,0,1,5.14166355650266,3,10.4552
"2",0,1.09861228866811,0,0,0,7.44366368311559,4.06044301054642,2.07944154167984,0,0,2.07944154167984,0,3.49650756146648,2.99573227355399,0,2.99573227355399,0,0,3.2188758248682,1.6094379124341,0.693147180559945,0,0,4.39444915467244,0,2.30258509299405,7.69893619981345,4.43081679884331,4.52178857704904,1.09861228866811,2,6.72142570079064,42,13.9297
"3",0,0,0,0,6.29156913955832,0,4.94875989037817,0.693147180559945,0,0,0,0,0,0,0,0,2.07944154167984,0,2.07944154167984,0,2.30258509299405,0,1.09861228866811,0.693147180559945,5.11198778835654,0,0,1.6094379124341,0,0,0,4.93447393313069,9,9.3931
"4",0,4.4188406077966,0,0,0,0,0,3.40119738166216,0,0,0,0,0,0,0,0,0,3.68887945411394,1.6094379124341,0,0,0,0,3.73766961828337,0,0,0,1.38629436111989,0,0,0,3.71357206670431,2,2.46341
"5",2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,3.3322045101752,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,4.14313472639153,0,2.99573227355399,0,0
"6",2.30258509299405,1.94591014905531,4.77068462446567,0.693147180559945,2.99573227355399,0,1.6094379124341,4.97673374242057,0,0,0,0,0,0,0,0,0,0,2.19722457733622,0,0,4.12713438504509,1.09861228866811,7.75619534394812,0,0,0,0,4.21950770517611,0,0,5.48479693349065,13,16.4641
"7",0,1.38629436111989,0,0,0,1.09861228866811,4.0943445622221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,4.34380542185368,1.79175946922805,0,0,0,0,0,1.6094379124341,1,4.24084
"8",0,0,0,0,0,0,0,0,0,0,4.56434819146784,6.21060007702465,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84643877505772,1,1.35264
"9",0,0,0,0,0,0,4.31748811353631,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,3.52636052461616,6.32435896238131,0,0,0,0,1.38629436111989,1,3.80666248977032,4,6.60956
"10",0,0,0,0.693147180559945,6.25382881157547,0,4.74493212836325,0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0,0,0,0,0.693147180559945,5.61677109766657,0,0,5.20948615284142,4,5.34192
"11",0,6.79346613258001,0,0,0,0.693147180559945,0,1.79175946922805,4.58496747867057,0,0,2.56494935746154,2.89037175789616,0,0,0,0,0,0,0,0,0,0,0,3.93182563272433,0,0.693147180559945,0,0,3.8286413964891,0,5.20948615284142,6,7.7902
"12",0,0,0,0,3.46573590279973,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73766961828337,0,0,0,0,0,4.17438726989564,0,0,0,0,0.693147180559945,0,2.63905732961526,1,1.17486
"13",0,0,2.19722457733622,0,0,0,2.89037175789616,3.87120101090789,0,0,0,0,0,0,4.12713438504509,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,1.94591014905531,0,0
"14",0,0,0,0,1.09861228866811,0,0,2.63905732961526,0,0,0,0,0,0,0,2.30258509299405,0,0,0,0,2.56494935746154,0,0,0,2.83321334405622,0,0,4.24849524204936,0.693147180559945,0,0,3.04452243772342,2,5.50819
"15",0,0,0,0.693147180559945,0,0,1.38629436111989,0,4.15888308335967,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,1.94591014905531,0,3.71357206670431,5.03695260241363,0,0,3.71357206670431,0,0
"16",0,0,0,0,0,0,5.28320372873799,0,0,0,0,0,4.07753744390572,1.09861228866811,0,3.36729582998647,0,0,0,0,2.39789527279837,0,0,0.693147180559945,4.94875989037817,0,0,3.80666248977032,0,0,0,4.12713438504509,5,11.5269
"17",0,3.66356164612965,3.66356164612965,0,0.693147180559945,2.56494935746154,2.07944154167984,4.17438726989564,0,0,0,0,1.38629436111989,0,2.07944154167984,1.09861228866811,0,0,0,0.693147180559945,0,0.693147180559945,0,3.58351893845611,0,2.77258872223978,0,0,0,0,0,4.00733318523247,0,0
"18",0,1.79175946922805,0,3.73766961828337,1.09861228866811,5.08140436498446,0,0,0,0,0,0,0,0,0,1.38629436111989,1.38629436111989,0.693147180559945,0,1.09861228866811,0,1.6094379124341,0,0,1.09861228866811,0,4.80402104473326,3.09104245335832,0,0,1,4.34380542185368,1,0.871061
"19",0,3.2188758248682,0.693147180559945,0,0,0,0,0,5.11799381241676,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0,0,3.68887945411394,1,3.28866
"20",0,0,4.14313472639153,0,0,0,0,4.04305126783455,0,0,0,0,0,0,1.09861228866811,0,1.94591014905531,0,0,0,0,2.07944154167984,0,0,0,0,0,0,0.693147180559945,0,0,2.70805020110221,2,4.2341
"21",0,0,1.38629436111989,1.09861228866811,0,2.30258509299405,4.77068462446567,0,0,0,0,0,0.693147180559945,4.30406509320417,0,5.14749447681345,0,1.6094379124341,0,0,0,1.38629436111989,0,1.09861228866811,0,0,0,2.89037175789616,3.95124371858143,0,0,4.68213122712422,2,2.6029
"22",0,1.6094379124341,0.693147180559945,0,0,0,0,1.09861228866811,0,0,0,2.63905732961526,0,4.15888308335967,4.8283137373023,0,3.55534806148941,0,0,0,0,0,0,0,3.63758615972639,0,0,0,0,0,0,3.80666248977032,1,7.75655
"23",0,0,4.44265125649032,0,2.39789527279837,1.09861228866811,0,2.77258872223978,0,1.94591014905531,0,0,0,0,0,0,0,0,1.09861228866811,2.19722457733622,0,0,0,4.27666611901606,0,0,0,0,0,0,1,4.02535169073515,3,5.46076
"24",0,0,0,0,0,0,0,0.693147180559945,4.00733318523247,0,0,0,1.79175946922805,1.38629436111989,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,1.09861228866811,0,0,0,0,2.07944154167984,2,4.08464
"25",0,2.94443897916644,0,0,0,0,0,0,0.693147180559945,0.693147180559945,2.07944154167984,0,0.693147180559945,0,0,0,0,5.4510384535657,0,0,0,0,0,0,2.89037175789616,0,0,0,0,0,0,4.30406509320417,1,3.9126
"26",0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,3.49650756146648,0,1.38629436111989,0,2.42975
"27",0,0.693147180559945,0,0,2.484906649788,0,0,0,0,0,0,0,0,5.68017260901707,0,0,0,0,3.2188758248682,0.693147180559945,5.46806014113513,1.09861228866811,0,2.07944154167984,0,0,1.94591014905531,0,1.09861228866811,0,1,4.17438726989564,11,11.9647
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,4.15888308335967,0,4.86753445045558,0,3.55534806148941,1,2.24283
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341,0,0,0,0,0,0,3.40119738166216,0,0,0,0,0,0,5.24174701505964,0,4.04305126783455,1,7.59491
"30",0,0,0,0,4.82028156560504,5.57594910314632,0,4.56434819146784,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,3.25809653802148,0,0,0,3,4.87519732320115,2,2.2048
"31",0,0,3.29583686600433,0,0,0,0,3.66356164612965,4.04305126783455,0,0,0,0,0,2.99573227355399,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,2.99573227355399,2,4.01034
"32",0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,3.13549421592915,0,0,0,0,0,0.693147180559945,0,2.19722457733622,0,0,0,0,0,0.693147180559945,0,0,0,0,2.30258509299405,1,1.35264
"33",0,0,0,0,0,1.09861228866811,1.94591014905531,0,0,0,0,0,1.09861228866811,0,0,3.58351893845611,0,6.15485809401642,0,0,0,0,1.09861228866811,1.09861228866811,2.83321334405622,0,0,0,0.693147180559945,0,0,4.97673374242057,4,8.83948
"34",0,0.693147180559945,0,0,0,0,0,0,5.25749537202778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68887945411394,1,3.28866
"35",0,0,0,0,0,4.07753744390572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.792859
"36",0,4.21950770517611,0,0.693147180559945,0,0,0,4.47733681447821,0,0,0,0,0.693147180559945,0,0,0,0,2.39789527279837,1.6094379124341,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,3.58351893845611,1,4.04759
"37",2.19722457733622,0,0,0,0,0,3.71357206670431,0,0,0,0,0,0,0.693147180559945,0,0,0,4.56434819146784,0,0,0,0,0,0,0,0,0,0,0,6.25766758788264,0,4.47733681447821,1,7.67536
"38",0,0,1.38629436111989,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0,0,1.94591014905531,3.04452243772342,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1.38629436111989,1,1.18716
"39",0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,0,0,5.12396397940326,0,2.94443897916644,1,3.81153
"40",0,3.29583686600433,0,0,0,1.09861228866811,0,0,4.69134788222914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341,0,0,0,1.6094379124341,0,0,0,2.63905732961526,1,2.88097
"41",0,0,0,1.38629436111989,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,3.17805383034795,0,0,6.09807428216624,0,4.02535169073515,0,6.97073007814353,0,0,5.59098698051086,15,19.4885
"42",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,4.11087386417331,0,0.693147180559945,0,0,0,0,0,0,0,3.29583686600433,0,1.38629436111989,0,0,0.693147180559945,0,0,3.36729582998647,1,1.12713
