"","V1","V2","V3","V4","V5","bug","loc","bf","hcm"
"1",0,0,5.74620319054015,0,5.37063802812766,1,5.14166355650266,3,10.4552
"2",2.39789527279837,2.56494935746154,0,6.76619171466035,8.14960173573616,2,6.72142570079064,42,13.9297
"3",0,0,5.29330482472449,5.00394630594546,6.27287700654617,0,4.93447393313069,9,9.3931
"4",4.61512051684126,0,4.46590811865458,0.693147180559945,2.484906649788,0,3.71357206670431,2,2.46341
"5",0,0,1.94591014905531,4.21950770517611,3.3322045101752,0,2.99573227355399,0,0
"6",7.47420480649612,0,6.26909628370626,4.29045944114839,6.02586597382531,0,5.48479693349065,13,16.4641
"7",0,0,3.91202300542815,3.29583686600433,4.27666611901606,0,1.6094379124341,1,4.24084
"8",0,6.38856140554563,0,0,0,0,5.84643877505772,1,1.35264
"9",0,0,5.26269018890489,5.57972982598622,5.37989735354046,1,3.80666248977032,4,6.60956
"10",0,0,4.56434819146784,4.04305126783455,6.64118216974059,0,5.20948615284142,4,5.34192
"11",0,4.00733318523247,6.14203740558736,6.40025744530882,0,0,5.20948615284142,6,7.7902
"12",0,0,3.66356164612965,3.3322045101752,4.29045944114839,0,2.63905732961526,1,1.17486
"13",2.83321334405622,0,4.77912349311153,0,0.693147180559945,0,1.94591014905531,0,0
"14",0,0,2.30258509299405,4.4188406077966,3.46573590279973,0,3.04452243772342,2,5.50819
"15",0.693147180559945,0,0.693147180559945,3.80666248977032,5.41164605185504,0,3.71357206670431,0,0
"16",0,1.94591014905531,5.22035582507832,4.07753744390572,5.44673737166631,0,4.12713438504509,5,11.5269
"17",5.04985600724954,0,0,0,4.24849524204936,0,4.00733318523247,0,0
"18",0,0,0.693147180559945,3.91202300542815,5.75574221358691,1,4.34380542185368,1,0.871061
"19",0,1.79175946922805,0,5.25227342804663,0,0,3.68887945411394,1,3.28866
"20",4.0943445622221,2.484906649788,4.11087386417331,1.38629436111989,0.693147180559945,0,2.70805020110221,2,4.2341
"21",2.39789527279837,0,4.64439089914137,0,5.83188247728352,0,4.68213122712422,2,2.6029
"22",2.39789527279837,2.94443897916644,5.23110861685459,4.15888308335967,0.693147180559945,0,3.80666248977032,1,7.75655
"23",5.05624580534831,0,2.94443897916644,3.2188758248682,0,1,4.02535169073515,3,5.46076
"24",0,0,0,4.21950770517611,0,0,2.07944154167984,2,4.08464
"25",1.09861228866811,3.29583686600433,5.52146091786225,0,0,0,4.30406509320417,1,3.9126
"26",0,0,3.63758615972639,0,0,0,1.38629436111989,0,2.42975
"27",0.693147180559945,0,1.79175946922805,6.35088571671474,1.6094379124341,1,4.17438726989564,11,11.9647
"28",2.77258872223978,0,5.18738580584075,0,0,0,3.55534806148941,1,2.24283
"29",0,0,5.39816270151775,0,0.693147180559945,0,4.04305126783455,1,7.59491
"30",4.23410650459726,1.09861228866811,2.39789527279837,0,6.06610809010375,3,4.87519732320115,2,2.2048
"31",3.68887945411394,0,4.60517018598809,1.38629436111989,0,0,2.99573227355399,2,4.01034
"32",0,0,0,3.55534806148941,0,0,2.30258509299405,1,1.35264
"33",0,0,6.12249280951439,0,4.40671924726425,0,4.97673374242057,4,8.83948
"34",0,0,0,5.26269018890489,0,0,3.68887945411394,1,3.28866
"35",0,0,0,0,4.07753744390572,0,0,1,0.792859
"36",3.89182029811063,0,4.34380542185368,3.91202300542815,0,0,3.58351893845611,1,4.04759
"37",0.693147180559945,0,6.49526555593701,1.38629436111989,0,0,4.47733681447821,1,7.67536
