"numberOfBugsFoundUntil.","numberOfNonTrivialBugsFoundUntil.","directory","k"
3,3,"lucene","bug-metrics.csv"
42,42,"lucene","bug-metrics.csv"
9,9,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
13,13,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
11,11,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
15,15,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
34,34,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
