"numberOfBugsFoundUntil.","numberOfNonTrivialBugsFoundUntil.","directory","k"
3,2,"eclipse","bug-metrics.csv"
0,0,"eclipse","bug-metrics.csv"
55,48,"eclipse","bug-metrics.csv"
3,3,"eclipse","bug-metrics.csv"
15,13,"eclipse","bug-metrics.csv"
13,13,"eclipse","bug-metrics.csv"
5,4,"eclipse","bug-metrics.csv"
6,5,"eclipse","bug-metrics.csv"
7,6,"eclipse","bug-metrics.csv"
1,0,"eclipse","bug-metrics.csv"
3,3,"eclipse","bug-metrics.csv"
1,1,"eclipse","bug-metrics.csv"
4,4,"eclipse","bug-metrics.csv"
11,11,"eclipse","bug-metrics.csv"
7,7,"eclipse","bug-metrics.csv"
1,1,"eclipse","bug-metrics.csv"
60,57,"eclipse","bug-metrics.csv"
2,2,"eclipse","bug-metrics.csv"
1,1,"eclipse","bug-metrics.csv"
37,31,"eclipse","bug-metrics.csv"
3,2,"eclipse","bug-metrics.csv"
0,0,"eclipse","bug-metrics.csv"
10,7,"eclipse","bug-metrics.csv"
37,31,"eclipse","bug-metrics.csv"
4,4,"eclipse","bug-metrics.csv"
59,50,"eclipse","bug-metrics.csv"
16,15,"eclipse","bug-metrics.csv"
6,5,"eclipse","bug-metrics.csv"
1,1,"eclipse","bug-metrics.csv"
57,51,"eclipse","bug-metrics.csv"
0,0,"eclipse","bug-metrics.csv"
0,0,"eclipse","bug-metrics.csv"
4,4,"eclipse","bug-metrics.csv"
1,1,"eclipse","bug-metrics.csv"
11,9,"eclipse","bug-metrics.csv"
0,0,"eclipse","bug-metrics.csv"
10,9,"eclipse","bug-metrics.csv"
5,2,"eclipse","bug-metrics.csv"
24,20,"eclipse","bug-metrics.csv"
22,16,"eclipse","bug-metrics.csv"
18,17,"eclipse","bug-metrics.csv"
11,11,"eclipse","bug-metrics.csv"
18,16,"eclipse","bug-metrics.csv"
1,1,"eclipse","bug-metrics.csv"
2,2,"eclipse","bug-metrics.csv"
2,0,"eclipse","bug-metrics.csv"
7,6,"eclipse","bug-metrics.csv"
3,3,"eclipse","bug-metrics.csv"
4,3,"eclipse","bug-metrics.csv"
2,1,"eclipse","bug-metrics.csv"
74,67,"eclipse","bug-metrics.csv"
5,5,"eclipse","bug-metrics.csv"
4,3,"eclipse","bug-metrics.csv"
0,0,"eclipse","bug-metrics.csv"
2,2,"eclipse","bug-metrics.csv"
