"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","bug","loc","bf","hcm"
"1",0,1.09861228866811,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809653802148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0.693147180559945,0,0,0.693147180559945,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80402104473326,0.693147180559945,0,0,0,0,3.17805383034795,0,3.71677
"2",0,0.693147180559945,0,0,0,0,0,2.56494935746154,0,0,0,0,0,0,0,0,0,0,0,0,2.19722457733622,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1.6094379124341,0,0,0,0,2.30258509299405,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,1.94591014905531,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,3.17805383034795,0,0,0,0,0,0,0,0,0,0,2.19722457733622,0,6.41569
"3",0.693147180559945,0,0,0,0,0,3.36729582998647,0,0,0,0,0,0,0,0.693147180559945,0,3.61091791264422,0,0,0,0,0,0,0,0,0,4.79579054559674,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,3.36729582998647,1,1.76682
"4",0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,4.48863636973214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0,3.17805383034795,0,0,0,3.76120011569356,1.09861228866811,0,0,0,0,0,0,2.70805020110221,0,0,2.56494935746154,0,0,0,0.693147180559945,0,0,3.13549421592915,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,3.61091791264422,1,1.76682
"5",0,0,0,0,0,0,0,0,0,3.3322045101752,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63472898822964,0,0,0,0,0,4.07753744390572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,2.30258509299405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49650756146648,0,6.01575
"6",0,0,1.38629436111989,0,0.693147180559945,0,0,0,3.71357206670431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,3.3322045101752,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30258509299405,0,0,0,2.19722457733622,8,21.9852
"7",2.77258872223978,1.09861228866811,1.09861228866811,0,0,0.693147180559945,0,1.09861228866811,2.30258509299405,0,0,3.3322045101752,9.35807048400052,0,0,4.51085950651685,3.95124371858143,0,1.94591014905531,2.19722457733622,2.70805020110221,1.38629436111989,0,4.92725368515721,0,3.85014760171006,1.79175946922805,1.79175946922805,0.693147180559945,1.79175946922805,0,0,0,1.94591014905531,0,0,0,2.56494935746154,4.98360662170834,2.63905732961526,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1.6094379124341,1.09861228866811,3.98898404656427,0,0,0,2.77258872223978,3.2188758248682,0,0,0,3.61091791264422,0,0,0,0,0,0,0,3.46573590279973,0,0,0,0,0,3.17805383034795,28,0,232,58.1518
"8",3.25809653802148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63758615972639,0,0,0,0,1.09861228866811,1.38629436111989,0,0,1.38629436111989,0,0,0,0,0,0,3.25809653802148,0,0,1.94591014905531,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77258872223978,1,7.72196
"9",0,3.80666248977032,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1.09861228866811,0,0,0,0,0.693147180559945,0,2.70805020110221,0,1.09861228866811,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56494935746154,1,6.4354
"10",0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.19722457733622,0,0,0,0,0,0,0,3.29583686600433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0.693147180559945,0,0,4.18965474202643,0,0,0,2.77258872223978,3,4.51037
