"","V1","V2","V3","V4","V5","V6","bug","loc","bf","hcm"
"1",0,3.43398720448515,3.66356164612965,4.52178857704904,0,0,0,3.17805383034795,0,3.71677
"2",0,3.76120011569356,0,3.25809653802148,1.09861228866811,0,0,2.19722457733622,0,6.41569
"3",0,4.14313472639153,0,4.81218435537242,2.99573227355399,0,0,3.36729582998647,1,1.76682
"4",0,0,3.78418963391826,4.71849887129509,4.04305126783455,0,0,3.61091791264422,1,1.76682
"5",0,4.46590811865458,0,3.04452243772342,4.18965474202643,3.3322045101752,0,3.49650756146648,0,6.01575
"6",3.73766961828337,0,0,2.30258509299405,0,3.61091791264422,0,2.19722457733622,8,21.9852
"7",7.43248380791712,6.5510803350434,8.07651532755233,7.86441990499457,5.46806014113513,8.28020423327997,28,0,232,58.1518
"8",2.19722457733622,0,0,4.55387689160054,0,0,0,2.77258872223978,1,7.72196
"9",4.02535169073515,0,0,2.89037175789616,0,0,0,2.56494935746154,1,6.4354
"10",4.46590811865458,0,0,2.94443897916644,0,0,0,2.77258872223978,3,4.51037
"11",3.71357206670431,1.6094379124341,1.38629436111989,6.68336094576627,4.99043258677874,0,1,5.06890420222023,3,7.63864
"12",3.52636052461616,4.52178857704904,6.52795791762255,0,4.29045944114839,0,0,5.15329159449778,5,10.3932
"13",0,4.94875989037817,0,0,5.63478960316925,0,0,3.95124371858143,2,6.12275
"14",0,1.6094379124341,0,4.44265125649032,1.6094379124341,6.4707995037826,0,4.87519732320115,2,8.98492
"15",0,7.07834157955767,0,0,0,0,0,5.35185813347607,1,4.87416
"16",4.34380542185368,0,3.68887945411394,3.40119738166216,2.30258509299405,0,0,2.94443897916644,4,5.85726
"17",4.87519732320115,0,2.39789527279837,2.07944154167984,0,7.28276117960559,3,5.50533153593236,14,22.9998
"18",3.46573590279973,3.63758615972639,0,5.48893772615669,0,2.19722457733622,0,3.76120011569356,1,0
"19",4.81218435537242,0,0,0,0,0,0,3.61091791264422,0,6.42599
"20",0,4.29045944114839,0,5.35658627467201,4.969813299576,6.81014245011514,0,5.53338948872752,23,15.7896
"21",5.39362754635236,4.969813299576,0,4.02535169073515,0,1.79175946922805,0,3.55534806148941,9,18.6755
"22",5.28826703069454,6.59714570188665,1.38629436111989,0,0,3.58351893845611,1,4.82028156560504,11,21.0216
"23",3.25809653802148,2.484906649788,0,0,0,0,1,0,2,5.98814
"24",3.09104245335832,5.54517744447956,0.693147180559945,2.63905732961526,0,6.08449941307517,1,4.77912349311153,2,11.1043
"25",5.24702407216049,5.76832099579377,0,5.34233425196481,0,5.33271879326537,1,4.90527477843843,8,22.1695
"26",6.3578422665081,3.3322045101752,0,0,5.8111409929767,0,0,5.47227067367148,7,14.0182
"27",0,3.13549421592915,0,4.97673374242057,0,1.79175946922805,0,2.63905732961526,0,5.32582
"28",5.11799381241676,0,0,4.4188406077966,0,1.94591014905531,0,3.49650756146648,0,3.18664
"29",0,3.78418963391826,0.693147180559945,4.88280192258637,0,0,0,3.04452243772342,0,4.68802
"30",4.88280192258637,0.693147180559945,2.07944154167984,7.12849594568004,0,4.48863636973214,0,5.76205138278018,24,16.953
"31",4.17438726989564,0.693147180559945,0,0.693147180559945,4.83628190695148,1.38629436111989,0,3.80666248977032,2,7.10446
"32",5.29330482472449,0,0,3.13549421592915,0,1.09861228866811,0,3.87120101090789,2,12.8088
"33",5.42053499927229,5.48479693349065,5.2257466737132,0.693147180559945,3.63758615972639,0,0,4.97673374242057,4,12.3547
"34",4.67282883446191,4.61512051684126,0,6.35262939631957,2.07944154167984,0.693147180559945,1,5.03695260241363,8,17.2555
"35",1.09861228866811,4.59511985013459,0,4.55387689160054,2.07944154167984,0,0,3.43398720448515,1,6.09363
"36",0,4.70953020131233,0,1.94591014905531,3.87120101090789,6.21860011969173,0,4.57471097850338,7,17.0132
"37",0,0,0,0,4.57471097850338,0,0,2.77258872223978,1,9.16205
"38",0,4.24849524204936,3.52636052461616,3.8286413964891,0.693147180559945,0,0,3.46573590279973,1,7.83167
"39",0,0,5.42053499927229,0,0.693147180559945,1.94591014905531,0,3.40119738166216,2,1.56044
"40",1.94591014905531,4.29045944114839,0,4.72738781871234,4.02535169073515,0,0,3.43398720448515,0,3.71677
"41",0,0,4.58496747867057,4.68213122712422,0,0,0,3.17805383034795,0,9.36692
"42",4.04305126783455,0,2.77258872223978,0,0,0,0,2.30258509299405,1,5.36088
"43",3.91202300542815,0,2.63905732961526,1.09861228866811,4.11087386417331,6.10924758276437,0,4.65396035015752,3,13.5092
"44",0,0,0,4.4188406077966,0,0,1,4.70953020131233,1,8.39741
"45",1.79175946922805,4.46590811865458,2.89037175789616,3.49650756146648,0,0,1,2.89037175789616,1,5.70432
"46",5.42934562895444,0,3.2188758248682,0,0,0,0,3.68887945411394,2,5.2122
"47",3.61091791264422,0,0,3.55534806148941,0,6.92657703322272,0,5.19295685089021,5,12.5528
"48",3.93182563272433,0,2.56494935746154,3.61091791264422,0,5.18178355029209,0,3.55534806148941,4,17.1566
"49",1.09861228866811,0,1.6094379124341,4.89034912822175,5.605802066296,1.94591014905531,0,4.55387689160054,3,5.38823
"50",4.11087386417331,4.99043258677874,3.58351893845611,3.61091791264422,4.23410650459726,3.04452243772342,0,3.52636052461616,0,8.04434
"51",4.35670882668959,4.77068462446567,0,3.63758615972639,0,1.94591014905531,0,3.29583686600433,3,4.41939
"52",0,4.02535169073515,6.20050917404269,0,4.47733681447821,0,0,4.24849524204936,4,12.3849
"53",5.45958551414416,0,0,1.79175946922805,7.00760061395185,0.693147180559945,0,4.54329478227,11,16.5679
"54",0,0,0,0,4.97673374242057,0.693147180559945,0,2.89037175789616,1,1.76682
"55",4.0943445622221,5.06890420222023,4.89783979995091,4.12713438504509,4.34380542185368,0,0,4.88280192258637,2,14.705
"56",3.43398720448515,2.63905732961526,0,0,1.09861228866811,1.94591014905531,0,1.38629436111989,1,1.77712
"57",6.10924758276437,0,0,6.99025650049388,0,6.1463292576689,0,6.07073772800249,15,27.4268
"58",0,3.25809653802148,7.05098944706805,3.76120011569356,0,0,0,5.11799381241676,4,6.33209
"59",3.87120101090789,0,2.30258509299405,0,0,0,0,2.484906649788,1,3.19695
