"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","bug","loc","bf","hcm"
"1",2.94443897916644,0,0,0,0,0,0,0,0,3.58351893845611,0,4.63472898822964,0,0,1.38629436111989,0,0,0,0,0.693147180559945,0,3.17805383034795,0,3.71677
"2",0,2.30258509299405,0,0,1.09861228866811,2.19722457733622,0,0,0,0,3.09104245335832,0,0,3.3322045101752,0,0,0,0,1.09861228866811,0,0,2.19722457733622,0,6.41569
"3",0,0.693147180559945,0,1.09861228866811,0,3.13549421592915,4.69134788222914,0,1.79175946922805,0,0,4.00733318523247,2.484906649788,0,0,0,0,0,0,0,0,3.36729582998647,1,1.76682
"4",0,0,0,0,0,0,0,0,5.08759633523238,2.99573227355399,0,2.94443897916644,0,0,2.39789527279837,0,0,1.09861228866811,0,0,0,3.61091791264422,1,1.76682
"5",0,0,1.09861228866811,0,0,0,3.85014760171006,0,4.38202663467388,0,0,0,0,0,0,0,2.77258872223978,0.693147180559945,0,4.02535169073515,0,3.49650756146648,0,6.01575
"6",0,0,4.12713438504509,0,0,0,2.77258872223978,0,0,0,0,0,0,0,0,0,0,2.39789527279837,0,0,0,2.19722457733622,8,21.9852
"7",3.36729582998647,5.4380793089232,3.71357206670431,5.22035582507832,6.97166860472579,5.87493073085203,5.31320597904179,4.67282883446191,4.85203026391962,4.12713438504509,2.07944154167984,3.13549421592915,4.77912349311153,2.484906649788,3.58351893845611,3.61091791264422,0,9.18543273627,1.09861228866811,1.94591014905531,28,0,232,58.1518
"8",0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,3.17805383034795,0,0,0,4.30406509320417,0,0,0,2.77258872223978,1,7.72196
"9",3.80666248977032,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,3.25809653802148,0,0,0,2.56494935746154,1,6.4354
"10",0,0,3.04452243772342,0,0,0.693147180559945,1.79175946922805,3.61091791264422,0,0,3.73766961828337,0,0.693147180559945,0,0,0,0,0,0,0,0,2.77258872223978,3,4.51037
"11",4.23410650459726,0,0,0,0.693147180559945,5.6937321388027,0,0,0.693147180559945,0,0,0.693147180559945,6.38687931936265,3.25809653802148,0,0,0,0,1.94591014905531,0,1,5.06890420222023,3,7.63864
"12",1.6094379124341,3.36729582998647,0,2.99573227355399,2.63905732961526,0,0,0,0,5.72358510195238,0,0,0,0,5.46806014113513,0,0,0,5.24702407216049,4.45434729625351,0,5.15329159449778,5,10.3932
