"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","bug","loc","bf","hcm"
"1",0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,2.70805020110221,0.693147180559945,0,0,2.39789527279837,1.09861228866811,0.693147180559945,0,0,0,0,0.693147180559945,3.91202300542815,0,0,0,3.95124371858143,0,0,2.07944154167984,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,2.99573227355399,0.693147180559945,0,3.17805383034795,0,3.71677
"2",0,0,0,0,0,0,0.693147180559945,0,2.07944154167984,0,0.693147180559945,2.39789527279837,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,3.8286413964891,0,0,0.693147180559945,0,0,0,2.19722457733622,0,6.41569
"3",0,0,0,0,0.693147180559945,2.19722457733622,0,3.29583686600433,0,2.83321334405622,0,0,0,0,0,4.90527477843843,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,2.39789527279837,0,0,0,0,0,0,0,0,0,3.36729582998647,1,1.76682
"4",0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,3.63758615972639,0,0,2.56494935746154,0,0,0,0,3.3322045101752,4.44265125649032,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,1.09861228866811,0,0,0,0,0,3.13549421592915,3.17805383034795,0,0,3.61091791264422,1,1.76682
"5",0,0,0,0,0,0,0,0,0,0,4.91998092582813,0,0,0,0,2.07944154167984,0,0,0,0,0,0,1.09861228866811,0,1.09861228866811,0,0,0,0,0,0,0,0,0.693147180559945,0,1.94591014905531,0,0,0,0,0,0,0,3.80666248977032,0,0,3.49650756146648,0,6.01575
"6",3.17805383034795,0,1.09861228866811,0,0,0,0,0,0.693147180559945,0,0,2.484906649788,0,1.09861228866811,0,0,0,0,0,0,0,2.39789527279837,1.38629436111989,1.79175946922805,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,3.29583686600433,0,2.19722457733622,8,21.9852
"7",3.73766961828337,1.09861228866811,1.79175946922805,4.40671924726425,2.70805020110221,0,5.48063892334199,1.09861228866811,1.79175946922805,9.16461052027001,0,4.40671924726425,5.17048399503815,0,3.93182563272433,4.30406509320417,6.01859321449623,0,0,0,4.44265125649032,6.40357419793482,0,5.35658627467201,0.693147180559945,3.58351893845611,0,0.693147180559945,0,3.71357206670431,0,1.79175946922805,1.38629436111989,4.38202663467388,2.89037175789616,1.09861228866811,2.30258509299405,0,1.79175946922805,0,3.25809653802148,0,4.77912349311153,0.693147180559945,6.03787091992214,28,0,232,58.1518
"8",0,0,0,0,0,1.6094379124341,0,0,0,0,0,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,3.13549421592915,0,0.693147180559945,0,4.18965474202643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77258872223978,1,7.72196
"9",3.97029191355212,0,0,0.693147180559945,0,0,2.63905732961526,0,0,0,0,0,0,0,0.693147180559945,1.09861228866811,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56494935746154,1,6.4354
"10",2.19722457733622,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484906649788,0,2.19722457733622,0,1.6094379124341,0,0,0,3.63758615972639,0,0,0,0,0,2.56494935746154,0,0,0,0,0,0,0,0,0,3.17805383034795,0,2.77258872223978,3,4.51037
