"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","bug","loc","bf","hcm"
"1",3.43398720448515,1.09861228866811,0,0,0,0,0,2.63905732961526,0,3.71357206670431,0.693147180559945,0,0,0,4.27666611901606,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,3.17805383034795,0,3.71677
"2",0,0,0,0,0.693147180559945,0,3.78418963391826,0,0,0,0,2.07944154167984,0,1.38629436111989,0,0,0,0,0,0,0,0,2.484906649788,1.6094379124341,0,0,2.19722457733622,0,6.41569
"3",0,0,0.693147180559945,0,1.38629436111989,0,0,0,4.26267987704132,0,0,2.77258872223978,0,0,4.74493212836325,0,0,0,0,0,0,0,0,0,0,0,3.36729582998647,1,1.76682
"4",0,0,0,0,0.693147180559945,0,1.6094379124341,0,0,3.36729582998647,3.13549421592915,0,0,4.07753744390572,2.07944154167984,4.49980967033027,0,0,0.693147180559945,0,0,0,0,0,0,0,3.61091791264422,1,1.76682
"5",2.70805020110221,0,0,0,0,0,2.07944154167984,4.14313472639153,0,0,0,0,0,0,2.94443897916644,4.39444915467244,0.693147180559945,0,1.6094379124341,0,0,0,0,0,2.56494935746154,0,3.49650756146648,0,6.01575
"6",3.04452243772342,2.89037175789616,0,1.94591014905531,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,1.09861228866811,2.94443897916644,1.79175946922805,0.693147180559945,2.83321334405622,0,0,0,2.19722457733622,8,21.9852
"7",0,4.62497281328427,3.58351893845611,1.09861228866811,4.39444915467244,9.23073106162392,5.74620319054015,0.693147180559945,4.80402104473326,3.58351893845611,0,5.41164605185504,4.77912349311153,3.58351893845611,5.2040066870768,4.40671924726425,1.6094379124341,0,0,4.36944785246702,3.76120011569356,4.89783979995091,6.37842618365159,2.07944154167984,1.79175946922805,28,0,232,58.1518
"8",0,0,0,0,0,0,0,0,1.09861228866811,0,0,2.30258509299405,0,0,0,2.19722457733622,1.79175946922805,2.07944154167984,0,0,0,0,4.27666611901606,0,0,0,2.77258872223978,1,7.72196
"9",4.04305126783455,0,0,0,0,0,0.693147180559945,0,0,0,0,0,2.70805020110221,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,2.56494935746154,1,6.4354
"10",0.693147180559945,0,0,3.73766961828337,0,0,0,0,1.09861228866811,0,0,0,0,2.30258509299405,0,0,0,0,1.09861228866811,0,0,0,0,0,3.91202300542815,0,2.77258872223978,3,4.51037
"11",4.12713438504509,0.693147180559945,1.09861228866811,0,0,0,6.76503897678054,0,0,0,0,1.38629436111989,3.2188758248682,0,0,0,0,0,0,0,0,0.693147180559945,3.46573590279973,0,1.09861228866811,1,5.06890420222023,3,7.63864
"12",0,4.82028156560504,0,0,0,1.6094379124341,0.693147180559945,0,0,0,1.6094379124341,0,0,0,0,0,2.70805020110221,0,0,0,0,0,0,6.59850902861452,0,0,5.15329159449778,5,10.3932
"13",0,1.6094379124341,0,0,0,0,0,1.09861228866811,0,0,1.94591014905531,0,0,5.87493073085203,0,0,0,0,0,0,0,0,0,3.97029191355212,0,0,3.95124371858143,2,6.12275
"14",0,0,5.5683445037611,0,0.693147180559945,0,2.63905732961526,0,4.21950770517611,0,0,0,0,0,2.30258509299405,0,0,0,0.693147180559945,2.89037175789616,4.04305126783455,5.74620319054015,0,0,0,0,4.87519732320115,2,8.98492
"15",0,5.52942908751142,0,0,0,0,0,4.55387689160054,6.10924758276437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97126183979046,0,0,5.35185813347607,1,4.87416
