"","V1","V2","V3","V4","V5","V6","V7","V8","bug","loc","bf","hcm"
"1",0.693147180559945,0.693147180559945,1.6094379124341,2.89037175789616,4.66343909411207,3.25809653802148,0,1.94591014905531,0,3.17805383034795,0,3.71677
"2",0,0.693147180559945,0,0,3.73766961828337,1.79175946922805,0,3.13549421592915,0,2.19722457733622,0,6.41569
"3",0,0.693147180559945,5.11799381241676,2.19722457733622,3.36729582998647,0,0,0,0,3.36729582998647,1,1.76682
"4",0,0,0,4.63472898822964,4.4188406077966,0,3.29583686600433,0,0,3.61091791264422,1,1.76682
"5",4.57471097850338,0,0,0,0,4.58496747867057,0.693147180559945,1.6094379124341,0,3.49650756146648,0,6.01575
"6",3.40119738166216,0,0,0,2.77258872223978,3.76120011569356,0,0,0,2.19722457733622,8,21.9852
"7",6.84587987526405,6.98007594056176,6.82437367004309,5.73657229747919,7.76344638872736,8.38867776918081,7.59739632021279,6.00881318544259,28,0,232,58.1518
"8",2.94443897916644,0,0,0,4.40671924726425,0,1.38629436111989,0,0,2.77258872223978,1,7.72196
"9",1.79175946922805,3.52636052461616,2.70805020110221,0,2.94443897916644,1.09861228866811,0,0,0,2.56494935746154,1,6.4354
"10",3.87120101090789,3.87120101090789,0.693147180559945,1.09861228866811,2.07944154167984,0,0,0,0,2.77258872223978,3,4.51037
"11",3.36729582998647,2.63905732961526,1.6094379124341,3.98898404656427,6.74758652682932,0,3.73766961828337,0.693147180559945,1,5.06890420222023,3,7.63864
"12",0,4.15888308335967,0,6.26909628370626,0,0,0,5.66988092298052,0,5.15329159449778,5,10.3932
"13",0,0,5.59842195899838,3.52636052461616,0,4.77068462446567,0,0,0,3.95124371858143,2,6.12275
"14",3.85014760171006,0,4.52178857704904,0,2.70805020110221,2.07944154167984,6.36302810354046,0,0,4.87519732320115,2,8.98492
"15",0,0,6.65157187358973,0,0,4.74493212836325,0.693147180559945,5.6970934865054,0,5.35185813347607,1,4.87416
"16",0,4.76217393479776,0,2.30258509299405,3.36729582998647,0,0,0,0,2.94443897916644,4,5.85726
"17",1.09861228866811,0,2.19722457733622,0,0,4.60517018598809,7.12689080889881,5.51745289646471,3,5.50533153593236,14,22.9998
"18",3.97029191355212,1.94591014905531,0,0,5.41164605185504,0,0,3.61091791264422,0,3.76120011569356,1,0
"19",0,4.00733318523247,0,0,0,4.23410650459726,0,0,0,3.61091791264422,0,6.42599
"20",0,0,5.75890177387728,1.09861228866811,4.26267987704132,0,6.85118492749374,0,0,5.53338948872752,23,15.7896
"21",4.51085950651685,4.85203026391962,2.30258509299405,0,4.12713438504509,1.6094379124341,0,4.88280192258637,0,3.55534806148941,9,18.6755
"22",0,5.37989735354046,5.82894561761021,0,0,2.39789527279837,1.09861228866811,5.99396142730657,1,4.82028156560504,11,21.0216
"23",3.17805383034795,0,0,0,0,1.79175946922805,0,2.19722457733622,1,0,2,5.98814
"24",3.58351893845611,0,5.8111409929767,0.693147180559945,0,0,5.78996017089725,3.52636052461616,1,4.77912349311153,2,11.1043
"25",5.2257466737132,5.06259503302697,5.4553211153577,0,5.13579843705026,0,4.95582705760126,3.63758615972639,1,4.90527477843843,8,22.1695
"26",3.63758615972639,5.96870755998537,0,3.93182563272433,0,6.13122648948314,0,0,0,5.47227067367148,7,14.0182
"27",4.35670882668959,0,3.3322045101752,0,4.17438726989564,1.38629436111989,0,0,0,2.63905732961526,0,5.32582
"28",4.18965474202643,4.78749174278205,0,0,4.18965474202643,0,0,1.79175946922805,0,3.49650756146648,0,3.18664
"29",4.20469261939097,0,3.76120011569356,0,4.04305126783455,1.09861228866811,0,2.30258509299405,0,3.04452243772342,0,4.68802
"30",6.37331978957701,3.49650756146648,0,0,6.51323011091231,0,5.21493575760899,0,0,5.76205138278018,24,16.953
"31",0,3.61091791264422,0,4.26267987704132,0,4.48863636973214,0,0,0,3.80666248977032,2,7.10446
"32",2.07944154167984,5.15329159449778,2.07944154167984,1.09861228866811,3.55534806148941,0,0,0,0,3.87120101090789,2,12.8088
"33",0,4.45434729625351,0,4.00733318523247,0,6.19031540585315,0,4.14313472639153,0,4.97673374242057,4,12.3547
"34",4.64439089914137,0,0,0,6.34212141872115,0.693147180559945,1.09861228866811,4.74493212836325,1,5.03695260241363,8,17.2555
"35",3.98898404656427,0,0,0,4.18965474202643,4.43081679884331,0,0,0,3.43398720448515,1,6.09363
"36",0.693147180559945,0,5.61312810638807,0.693147180559945,1.09861228866811,0,5.96100533962327,0,0,4.57471097850338,7,17.0132
"37",0.693147180559945,0,0,3.13549421592915,2.63905732961526,4.11087386417331,0,0,0,2.77258872223978,1,9.16205
"38",0,3.8286413964891,0.693147180559945,3.2188758248682,3.87120101090789,0,1.38629436111989,3.36729582998647,0,3.46573590279973,1,7.83167
"39",0,0,0,2.70805020110221,1.94591014905531,5.36129216570943,0,0,0,3.40119738166216,2,1.56044
"40",0,0,2.484906649788,2.89037175789616,4.96284463025991,2.89037175789616,0.693147180559945,4.06044301054642,0,3.43398720448515,0,3.71677
"41",0,2.39789527279837,0,3.49650756146648,4.78749174278205,3.78418963391826,0,0,0,3.17805383034795,0,9.36692
"42",0,3.76120011569356,0,2.56494935746154,0.693147180559945,2.83321334405622,0,0,0,2.30258509299405,1,5.36088
"43",4.15888308335967,0,0,1.09861228866811,0.693147180559945,4.91265488573605,5.8805329864007,2.77258872223978,0,4.65396035015752,3,13.5092
"44",0,0,0,0,4.4188406077966,0,0,0,1,4.70953020131233,1,8.39741
"45",3.3322045101752,2.94443897916644,3.66356164612965,1.09861228866811,3.2188758248682,0,0,3.46573590279973,1,2.89037175789616,1,5.70432
"46",2.07944154167984,5.06259503302697,1.94591014905531,1.09861228866811,3.68887945411394,0.693147180559945,0,3.68887945411394,0,3.68887945411394,2,5.2122
"47",5.51745289646471,0.693147180559945,0,0,0,0,6.51767127291227,5.0998664278242,0,5.19295685089021,5,12.5528
"48",0,3.8286413964891,1.09861228866811,0,4.47733681447821,2.89037175789616,4.82028156560504,0.693147180559945,0,3.55534806148941,4,17.1566
"49",0,1.09861228866811,0.693147180559945,4.02535169073515,4.98360662170834,1.38629436111989,5.34710753071747,0,0,4.55387689160054,3,5.38823
"50",0,3.71357206670431,0,0,4.71849887129509,3.2188758248682,0,5.25227342804663,0,3.52636052461616,0,8.04434
"51",4.02535169073515,3.91202300542815,4.76217393479776,0,2.77258872223978,0,0.693147180559945,0.693147180559945,0,3.29583686600433,3,4.41939
"52",0,0,0,5.51342874616498,0,5.96100533962327,0,0,0,4.24849524204936,4,12.3849
"53",2.70805020110221,5.3890717298165,0,3.97029191355212,4.27666611901606,6.86171134048073,3.49650756146648,1.38629436111989,0,4.54329478227,11,16.5679
"54",0,0,0,3.97029191355212,2.19722457733622,4.40671924726425,1.6094379124341,0,0,2.89037175789616,1,1.76682
"55",0.693147180559945,0,0,4.07753744390572,4.62497281328427,5.65248918026865,0,3.78418963391826,0,4.88280192258637,2,14.705
"56",0,2.07944154167984,0,0,0,3.13549421592915,0,3.13549421592915,0,1.38629436111989,1,1.77712
"57",6.74758652682932,5.68017260901707,0.693147180559945,0,6.0137151560428,1.79175946922805,6.09356977004514,0.693147180559945,0,6.07073772800249,15,27.4268
"58",0,0.693147180559945,0,5.11799381241676,4.48863636973214,6.83947643822884,0,3.49650756146648,0,5.11799381241676,4,6.33209
"59",0,3.46573590279973,0.693147180559945,0,0,3.2188758248682,0,0,0,2.484906649788,1,3.19695
"60",0,7.27447955877387,2.77258872223978,0,2.99573227355399,4.15888308335967,3.85014760171006,5.62040086571715,1,6.0330862217988,8,21.8404
"61",0,3.80666248977032,3.85014760171006,3.73766961828337,0,0.693147180559945,0,0.693147180559945,0,2.99573227355399,2,9.25652
"62",0,0,0,6.67329796776765,0,0,0,0,0,4.86753445045558,3,4.385
"63",0.693147180559945,7.35115822643069,3.71357206670431,4.54329478227,3.71357206670431,5.25227342804663,0,4.8283137373023,1,5.75257263882563,9,16.6538
"64",4.06044301054642,0,2.63905732961526,0,5.26785815906333,0,0,1.38629436111989,0,3.85014760171006,0,4.33338
"65",0,0,0,4.70953020131233,5.48479693349065,5.22035582507832,4.79579054559674,4.33073334028633,0,4.70953020131233,7,18.4091
"66",6.26339826259162,5.23110861685459,0,1.94591014905531,5.72358510195238,0,5.52942908751142,0,0,5.36129216570943,6,17.8255
"67",0,4.9416424226093,0,0,0,3.04452243772342,0,1.94591014905531,0,3.36729582998647,2,8.10954
"68",0,3.52636052461616,0.693147180559945,0,3.29583686600433,0,0,0,0,2.63905732961526,3,4.69981
"69",4.7361984483945,0,0,0,3.8286413964891,1.79175946922805,3.04452243772342,1.38629436111989,0,3.8286413964891,7,12.0569
