"","V1","V2","V3","V4","V5","V6","V7","bug","loc","bf","hcm"
"1",1.09861228866811,1.79175946922805,4.17438726989564,2.484906649788,4.34380542185368,0.693147180559945,0,0,3.17805383034795,0,3.71677
"2",0,3.04452243772342,0,0,3.87120101090789,0,1.09861228866811,0,2.19722457733622,0,6.41569
"3",0.693147180559945,3.80666248977032,5.06259503302697,0,0,0.693147180559945,0,0,3.36729582998647,1,1.76682
"4",0,0,3.8286413964891,0,2.56494935746154,4.24849524204936,4.44265125649032,0,3.61091791264422,1,1.76682
"5",0,0,3.29583686600433,0,4.75359019110636,2.77258872223978,3.76120011569356,0,3.49650756146648,0,6.01575
"6",2.89037175789616,0,0,3.36729582998647,3.71357206670431,0.693147180559945,0,0,2.19722457733622,8,21.9852
"7",6.65157187358973,8.28626945278307,6.59304453414244,6.68336094576627,8.1763915966338,7.76684053708551,5.32300997913841,28,0,232,58.1518
"8",0,0,0,0,4.63472898822964,0,0,0,2.77258872223978,1,7.72196
"9",3.66356164612965,0,0.693147180559945,0,3.52636052461616,0,0,0,2.56494935746154,1,6.4354
"10",4.27666611901606,0.693147180559945,0,1.6094379124341,3.36729582998647,0,0,0,2.77258872223978,3,4.51037
"11",0,6.68210859744981,0,0,5.01063529409626,3.46573590279973,2.70805020110221,1,5.06890420222023,3,7.63864
"12",3.29583686600433,4.43081679884331,0,0,0,0,6.64768837356333,0,5.15329159449778,5,10.3932
"13",0,0,6.04025471127741,0,0,0,0,0,3.95124371858143,2,6.12275
"14",0,0,3.97029191355212,0,3.2188758248682,6.49526555593701,0,0,4.87519732320115,2,8.98492
"15",0,0,6.6052979209482,0,0,0,6.10479323241498,0,5.35185813347607,1,4.87416
"16",0,3.76120011569356,0,4.12713438504509,3.93182563272433,0,0,0,2.94443897916644,4,5.85726
"17",4.7361984483945,0,2.63905732961526,1.38629436111989,2.39789527279837,7.12608727329912,5.39362754635236,3,5.50533153593236,14,22.9998
"18",2.63905732961526,0,3.2188758248682,0,5.53338948872752,3.36729582998647,0,0,3.76120011569356,1,0
"19",4.15888308335967,0,0,3.78418963391826,2.83321334405622,0,0,0,3.61091791264422,0,6.42599
"20",0,2.39789527279837,5.75574221358691,0,0,6.91572344863131,0,0,5.53338948872752,23,15.7896
"21",5.74939298590825,0.693147180559945,1.6094379124341,0,4.59511985013459,0,1.94591014905531,0,3.55534806148941,9,18.6755
"22",5.84354441703136,0,5.8664680569333,0,0,0.693147180559945,5.6021188208797,1,4.82028156560504,11,21.0216
"23",3.52636052461616,0,0,0,1.38629436111989,0,0,1,0,2,5.98814
"24",3.71357206670431,0,5.83773044716594,0,0,5.84932477994686,0,1,4.77912349311153,2,11.1043
"25",5.26269018890489,2.63905732961526,5.03043792139244,2.19722457733622,6.19644412779452,4.21950770517611,0,1,4.90527477843843,8,22.1695
"26",6.27852142416584,3.97029191355212,1.79175946922805,3.40119738166216,0,2.07944154167984,5.74300318780948,0,5.47227067367148,7,14.0182
"27",0,0,1.79175946922805,1.79175946922805,5.08759633523238,0,0,0,2.63905732961526,0,5.32582
"28",4.48863636973214,0,0,3.61091791264422,4.8283137373023,1.94591014905531,0,0,3.49650756146648,0,3.18664
"29",0,0,0,1.6094379124341,5.14749447681345,0,0,0,3.04452243772342,0,4.68802
"30",2.83321334405622,3.17805383034795,0,6.08904487544685,6.12029741895095,6.29341927884648,0,0,5.76205138278018,24,16.953
"31",2.63905732961526,2.39789527279837,0,4.24849524204936,0,0,4.63472898822964,0,3.80666248977032,2,7.10446
"32",5.2257466737132,0,0.693147180559945,3.09104245335832,2.77258872223978,0,0,0,3.87120101090789,2,12.8088
"33",3.58351893845611,3.98898404656427,0,5.37063802812766,0,0,5.95842469302978,0,4.97673374242057,4,12.3547
"34",4.17438726989564,3.49650756146648,0,0,6.53233429222235,0,1.79175946922805,1,5.03695260241363,8,17.2555
"35",3.66356164612965,0,5.00394630594546,2.56494935746154,1.38629436111989,0,0,0,3.43398720448515,1,6.09363
"36",0,0.693147180559945,5.46806014113513,0.693147180559945,0,6.05208916892442,1.09861228866811,0,4.57471097850338,7,17.0132
"37",0,0,3.29583686600433,0,4.21950770517611,0,1.38629436111989,0,2.77258872223978,1,9.16205
"38",4.02535169073515,3.76120011569356,0,0,3.8286413964891,0,1.94591014905531,0,3.46573590279973,1,7.83167
"39",0,0,0,5.42053499927229,1.38629436111989,1.6094379124341,0,0,3.40119738166216,2,1.56044
"40",3.71357206670431,0,4.24849524204936,3.09104245335832,4.62497281328427,0,2.70805020110221,0,3.43398720448515,0,3.71677
"41",0,0,2.19722457733622,4.51085950651685,4.67282883446191,0,0,0,3.17805383034795,0,9.36692
"42",2.56494935746154,0,0,3.78418963391826,0,0,2.83321334405622,0,2.30258509299405,1,5.36088
"43",2.39789527279837,2.39789527279837,0,0,5.06890420222023,5.67675380226828,4.65396035015752,0,4.65396035015752,3,13.5092
"44",0,0,0,2.30258509299405,4.30406509320417,0,0,1,4.70953020131233,1,8.39741
"45",4.15888308335967,0.693147180559945,0,3.04452243772342,4.04305126783455,0,0,1,2.89037175789616,1,5.70432
"46",5.37527840768417,1.09861228866811,0,3.55534806148941,0,0,0,0,3.68887945411394,2,5.2122
"47",2.07944154167984,0,0,1.94591014905531,0.693147180559945,6.76849321164863,5.32787616878958,0,5.19295685089021,5,12.5528
"48",3.36729582998647,0,0,4.15888308335967,0,5.22035582507832,0,0,3.55534806148941,4,17.1566
"49",0,4.62497281328427,3.97029191355212,1.09861228866811,0,5.56068163101553,0.693147180559945,0,4.55387689160054,3,5.38823
"50",0,0,0.693147180559945,3.43398720448515,4.23410650459726,3.68887945411394,5.42934562895444,0,3.52636052461616,0,8.04434
"51",3.95124371858143,0,4.4188406077966,3.29583686600433,4.31748811353631,1.6094379124341,0,0,3.29583686600433,3,4.41939
"52",0,1.94591014905531,5.95842469302978,4.56434819146784,0,0,4.99721227376411,0,4.24849524204936,4,12.3849
"53",5.38449506278909,0.693147180559945,0,0.693147180559945,6.78784498230958,1.09861228866811,5.47227067367148,0,4.54329478227,11,16.5679
"54",0,0,1.09861228866811,0,4.40671924726425,0,4.14313472639153,0,2.89037175789616,1,1.76682
"55",2.63905732961526,0,4.57471097850338,4.60517018598809,4.52178857704904,0,5.24174701505964,0,4.88280192258637,2,14.705
"56",3.76120011569356,0,0,0,0.693147180559945,0,2.19722457733622,0,1.38629436111989,1,1.77712
"57",5.50533153593236,1.6094379124341,0,6.44571981938558,5.30826769740121,6.82546003625531,0.693147180559945,0,6.07073772800249,15,27.4268
"58",0,0,0,7.02997291170639,0,0,4.52178857704904,0,5.11799381241676,4,6.33209
"59",3.52636052461616,2.07944154167984,0,2.83321334405622,0,0,0,0,2.484906649788,1,3.19695
"60",7.35883089834235,0,0,5.18178355029209,1.09861228866811,2.63905732961526,4.60517018598809,1,6.0330862217988,8,21.8404
"61",2.94443897916644,0,3.8286413964891,3.85014760171006,1.6094379124341,0,3.04452243772342,0,2.99573227355399,2,9.25652
"62",0,6.63331843328038,2.30258509299405,0,0,0,3.13549421592915,0,4.86753445045558,3,4.385
"63",7.36707705988101,5.13579843705026,0,5.54126354515843,3.29583686600433,0,2.70805020110221,1,5.75257263882563,9,16.6538
"64",0.693147180559945,0,5.11198778835654,2.19722457733622,4.53259949315326,0,0,0,3.85014760171006,0,4.33338
"65",0,0,0,5.71702770140622,5.78074351579233,4.29045944114839,3.46573590279973,0,4.70953020131233,7,18.4091
"66",5.98896141688986,4.15888308335967,0,4.44265125649032,4.43081679884331,6.46925031679577,0,0,5.36129216570943,6,17.8255
"67",4.87519732320115,0,0,3.58351893845611,0,0,0,0,3.36729582998647,2,8.10954
"68",0,4.07753744390572,0,1.09861228866811,0,0,0,0,2.63905732961526,3,4.69981
"69",0,0,0,0,4.95582705760126,3.8286413964891,0,0,3.8286413964891,7,12.0569
