"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","bug","loc","bf","hcm"
"1",0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,1.6094379124341,0,0,0,0,0,0,2.484906649788,0,1.38629436111989,0,0,0,0,0,4.60517018598809,0,0,3.17805383034795,0,0,0,0,2.63905732961526,0,0.693147180559945,0,3.17805383034795,0,3.71677
"2",0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,2.56494935746154,0,0,0,0,0,0,0,3.46573590279973,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,1.94591014905531,0,0,1.09861228866811,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,2.19722457733622,0,0,0,1.09861228866811,0,0,0,0,2.19722457733622,0,6.41569
"3",0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0,3.58351893845611,0.693147180559945,0,0,4.98360662170834,0,0,0,0,0.693147180559945,1.38629436111989,2.484906649788,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36729582998647,1,1.76682
"4",0,0,0,0,0,0.693147180559945,0,0,0,0,4.23410650459726,0,0,0,0,0,0,0,0,0,0,2.77258872223978,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,2.484906649788,0,1.6094379124341,0,2.39789527279837,0,0,0,0,0,3.43398720448515,0,4.24849524204936,0,0.693147180559945,0,0,0,0,0,0,0,0,0,3.61091791264422,1,1.76682
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,3.46573590279973,0,0,0,0,0,0,0,0,0,0,0,4.49980967033027,0,0,0,0,0,1.09861228866811,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,4.06044301054642,0,0,0,0,0,0,2.83321334405622,0,3.49650756146648,0,6.01575
"6",2.19722457733622,0,0.693147180559945,0,0,0,3.80666248977032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341,1.09861228866811,0,0,0,0,0,0,3.29583686600433,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19722457733622,8,21.9852
"7",1.09861228866811,2.19722457733622,0,3.43398720448515,4.44265125649032,2.70805020110221,3.76120011569356,0,4.31748811353631,5.92692602597041,0,3.76120011569356,2.07944154167984,0,0,3.3322045101752,0,2.56494935746154,2.484906649788,1.79175946922805,0,4.7361984483945,1.09861228866811,0,3.2188758248682,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82028156560504,9.22276289197474,1.94591014905531,0,4.58496747867057,0,3.87120101090789,5.63835466933375,2.484906649788,0.693147180559945,0,0,0,4.46590811865458,0,0,4.80402104473326,0,4.79579054559674,6.18414889093748,0,2.83321334405622,28,0,232,58.1518
"8",3.63758615972639,0,0,0,0,0,0,1.6094379124341,0,0,0,0,2.70805020110221,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1.6094379124341,0,0,0,0,0,0,2.484906649788,0,1.6094379124341,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,3.13549421592915,0,0.693147180559945,0,0,0,0,0,0,0,2.77258872223978,1,7.72196
"9",3.46573590279973,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,2.19722457733622,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1.6094379124341,0,1.09861228866811,2.39789527279837,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,2.56494935746154,1,6.4354
"10",0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,3.61091791264422,3.25809653802148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99573227355399,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0.693147180559945,0,0,0,0,0,2.63905732961526,0,0,0,2.77258872223978,3,4.51037
